turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5bf3761862e1bc0001f15cb2,9.14,9.65,"Hi,",,0.5099999999999998,0,False,False,1
1,5f3864a4596925371d23631e,11.14,12.25,Hi,1.4900000000000002,1.1099999999999994,0,False,False,1
2,5bf3761862e1bc0001f15cb2,14.14,15.76,are you able to hear me?,1.8900000000000006,1.6199999999999992,1,True,False,6
3,5f3864a4596925371d23631e,16.24,17.56,Yeah I am,0.47999999999999865,1.3200000000000003,0,False,False,3
4,5bf3761862e1bc0001f15cb2,18.24,21.15,"Good, how are you?",0.6799999999999997,2.91,1,True,False,4
5,5f3864a4596925371d23631e,20.94,23.36,I'm tired. What about you?,-0.2099999999999973,2.419999999999998,1,True,True,6
6,5bf3761862e1bc0001f15cb2,22.84,30.16,"A little bit tired? A little bit, yeah.",-0.5199999999999996,7.32,1,False,True,8
7,5f3864a4596925371d23631e,29.94,30.75,Mm,-0.21999999999999886,0.8099999999999987,0,False,True,1
8,5bf3761862e1bc0001f15cb2,31.14,32.24,"Mhm. Yeah,",0.39000000000000057,1.1000000000000014,0,False,False,2
9,5f3864a4596925371d23631e,32.74,36.55,Oh they didn't provide us any guidelines on how to do this so,0.5,3.809999999999995,0,False,False,14
10,5bf3761862e1bc0001f15cb2,37.04,37.97,Yeah.,0.490000000000002,0.9299999999999997,0,False,False,1
11,5f3864a4596925371d23631e,37.44,37.94,yeah,-0.5300000000000011,0.5,0,False,True,1
12,5bf3761862e1bc0001f15cb2,37.98,39.56,Have you done any of them before?,0.03999999999999915,1.5800000000000054,1,True,False,7
13,5f3864a4596925371d23631e,40.44,43.27,I've done studies. Yeah but never like what,0.8799999999999955,2.8300000000000054,0,False,False,9
14,5bf3761862e1bc0001f15cb2,43.24,43.44,Yeah.,-0.030000000000001137,0.19999999999999574,0,False,True,1
15,5f3864a4596925371d23631e,43.27,44.31,I had to talk to like,-0.1699999999999946,1.0399999999999991,0,False,True,6
16,5bf3761862e1bc0001f15cb2,44.14,44.34,Yeah.,-0.1700000000000017,0.20000000000000284,0,False,True,1
17,5f3864a4596925371d23631e,44.32,45.06,real people.,-0.020000000000003126,0.740000000000002,0,False,True,2
18,5bf3761862e1bc0001f15cb2,45.34,52.86,"Uh sometimes they give a topic to discuss, but most of the time they don't,",0.28000000000000114,7.519999999999996,0,False,False,16
19,5f3864a4596925371d23631e,53.34,54.36,Okay.,0.480000000000004,1.019999999999996,0,False,False,1
20,5bf3761862e1bc0001f15cb2,53.64,57.26,so you just have a conversation with a stranger?,-0.7199999999999989,3.6199999999999974,1,True,True,9
21,5f3864a4596925371d23631e,57.44,59.86,Okay. Um,0.17999999999999972,2.4200000000000017,0,False,False,2
22,5bf3761862e1bc0001f15cb2,59.04,59.24,Yeah.,-0.8200000000000003,0.20000000000000284,0,False,True,1
23,5f3864a4596925371d23631e,60.74,60.9,so,1.5,0.1599999999999966,0,False,False,1
24,5bf3761862e1bc0001f15cb2,60.74,60.95,Okay.,-0.1599999999999966,0.21000000000000085,0,False,True,1
25,5f3864a4596925371d23631e,60.9,62.06,how was your day?,-0.05000000000000426,1.1600000000000037,1,True,True,4
26,5bf3761862e1bc0001f15cb2,62.64,63.76,Not too,0.5799999999999983,1.1199999999999974,0,False,False,2
27,5f3864a4596925371d23631e,63.64,63.8,Uh,-0.11999999999999744,0.1599999999999966,0,False,True,1
28,5bf3761862e1bc0001f15cb2,63.76,64.16,bad.,-0.03999999999999915,0.3999999999999986,0,False,True,1
29,5f3864a4596925371d23631e,63.8,64.26,huh.,-0.35999999999999943,0.46000000000000796,0,False,True,1
30,5bf3761862e1bc0001f15cb2,64.17,67.76,I just got off a volunteer at the library.,-0.09000000000000341,3.5900000000000034,0,False,True,9
31,5f3864a4596925371d23631e,67.94,68.66,Mhm,0.1799999999999926,0.7199999999999989,0,False,False,1
32,5bf3761862e1bc0001f15cb2,68.34,68.76,"Oh,",-0.3199999999999932,0.4200000000000017,0,False,True,1
33,5f3864a4596925371d23631e,69.64,70.26,Oh,0.8799999999999955,0.6200000000000045,0,False,False,1
34,5bf3761862e1bc0001f15cb2,69.74,72.95,I just got home.,-0.5200000000000102,3.210000000000008,0,False,True,4
35,5f3864a4596925371d23631e,72.54,73.76,Oh,-0.4099999999999966,1.2199999999999989,0,False,True,1
36,5bf3761862e1bc0001f15cb2,74.84,78.75,"Oh, how how was your day?",1.0799999999999983,3.9099999999999966,1,True,False,6
37,5f3864a4596925371d23631e,79.04,82.0,um it was rough. I had classes,0.29000000000000625,2.9599999999999937,0,False,False,7
38,5bf3761862e1bc0001f15cb2,81.44,82.06,"Oh,",-0.5600000000000023,0.6200000000000045,0,False,True,1
39,5f3864a4596925371d23631e,82.0,83.27,"and work all day,",-0.060000000000002274,1.269999999999996,0,False,True,4
40,5bf3761862e1bc0001f15cb2,82.74,83.25,mm hmm.,-0.5300000000000011,0.5100000000000051,0,False,True,2
41,5f3864a4596925371d23631e,83.28,83.99,"it was okay,",0.030000000000001137,0.7099999999999937,0,False,False,3
42,5bf3761862e1bc0001f15cb2,83.74,84.36,Oh,-0.25,0.6200000000000045,0,False,True,1
43,5f3864a4596925371d23631e,84.0,84.76,it's friday.,-0.35999999999999943,0.7600000000000051,0,False,True,3
44,5bf3761862e1bc0001f15cb2,85.24,87.17,"yeah, you",0.47999999999998977,1.9300000000000068,0,False,False,2
45,5f3864a4596925371d23631e,86.24,86.66,Mhm.,-0.9300000000000068,0.4200000000000017,0,False,True,1
46,5bf3761862e1bc0001f15cb2,87.17,88.75,get the weekend now at least,0.5100000000000051,1.5799999999999983,0,False,False,6
47,5f3864a4596925371d23631e,88.84,90.16,Yeah exactly,0.09000000000000341,1.3199999999999932,0,False,False,2
48,5bf3761862e1bc0001f15cb2,90.74,94.46,just friday has always seemed to make you work for it.,0.5799999999999983,3.719999999999999,0,False,False,11
49,5f3864a4596925371d23631e,94.24,95.76,exactly,-0.21999999999999886,1.5200000000000102,0,False,True,1
50,5bf3761862e1bc0001f15cb2,96.94,98.76,Okay.,1.1799999999999926,1.8200000000000074,0,False,False,1
51,5f3864a4596925371d23631e,98.74,99.66,mm.,-0.020000000000010232,0.9200000000000017,0,False,True,1
52,5bf3761862e1bc0001f15cb2,99.14,103.46,"Uh huh uh what is the,",-0.519999999999996,4.319999999999993,0,False,True,6
53,5f3864a4596925371d23631e,104.14,104.31,Uh,0.6800000000000068,0.1700000000000017,0,False,False,1
54,5bf3761862e1bc0001f15cb2,104.14,104.32,is,-0.1700000000000017,0.1799999999999926,0,False,True,1
55,5f3864a4596925371d23631e,104.31,104.64,huh,-0.009999999999990905,0.3299999999999983,0,False,True,1
56,5bf3761862e1bc0001f15cb2,104.32,106.66,that a painting or a poster behind you?,-0.3200000000000074,2.3400000000000034,1,True,True,8
57,5f3864a4596925371d23631e,106.44,107.85,That's a poster,-0.21999999999999886,1.4099999999999966,0,False,True,4
58,5bf3761862e1bc0001f15cb2,108.14,112.55,"Yeah, uh anime or something. I can't quite tell.",0.29000000000000625,4.409999999999997,0,False,False,10
59,5f3864a4596925371d23631e,112.94,116.66,it's a poster of Pokemon if you know the series.,0.39000000000000057,3.719999999999999,0,False,False,11
60,5bf3761862e1bc0001f15cb2,116.04,117.49,Yes.,-0.6199999999999903,1.4499999999999886,0,False,True,1
61,5f3864a4596925371d23631e,117.04,117.84,Yeah.,-0.44999999999998863,0.7999999999999972,0,False,True,1
62,5bf3761862e1bc0001f15cb2,117.5,125.27,"Uh my stepson was very, very addicted to it for quite",-0.3400000000000034,7.769999999999996,0,False,True,11
63,5f3864a4596925371d23631e,125.04,125.66,Yeah.,-0.22999999999998977,0.6199999999999903,0,False,True,1
64,5bf3761862e1bc0001f15cb2,125.27,126.26,a while.,-0.39000000000000057,0.9900000000000091,0,False,True,2
65,5f3864a4596925371d23631e,126.04,126.66,Mhm.,-0.21999999999999886,0.6199999999999903,0,False,True,1
