turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e7f9714e74e0c66d2a04098,23.74,36.05,okay. You don't? Yeah. Mhm.,,12.309999999999999,1,False,False,6
1,5c5db893b40f3800011084b4,159.24,160.16,little,123.19000000000001,0.9199999999999875,0,False,False,1
2,5e7f9714e74e0c66d2a04098,160.54,161.56,"Hey, how are you?",0.37999999999999545,1.0200000000000102,1,True,False,4
3,5c5db893b40f3800011084b4,161.94,162.86,"good, how are you?",0.37999999999999545,0.9200000000000159,1,True,False,4
4,5e7f9714e74e0c66d2a04098,163.16,164.35,"I'm good, Can you hear me?",0.29999999999998295,1.1899999999999977,1,True,False,7
5,5c5db893b40f3800011084b4,164.64,166.05,"Yes, I can hear you.",0.28999999999999204,1.410000000000025,0,False,False,5
6,5e7f9714e74e0c66d2a04098,165.94,169.65,"Yeah. Hey my name is Manish, what is your",-0.11000000000001364,3.710000000000008,0,False,True,9
7,5c5db893b40f3800011084b4,169.54,169.67,Hi,-0.11000000000001364,0.12999999999999545,0,False,True,1
8,5e7f9714e74e0c66d2a04098,169.65,169.95,name?,-0.01999999999998181,0.29999999999998295,1,True,True,1
9,5c5db893b40f3800011084b4,169.67,171.46,Manish Francis.,-0.28000000000000114,1.7900000000000205,0,False,True,2
10,5e7f9714e74e0c66d2a04098,170.84,176.65,"Mhm, Francis, Francis. So how things are going real of you?",-0.6200000000000045,5.810000000000002,1,True,True,11
11,5c5db893b40f3800011084b4,177.54,181.58,"Uh Pretty good day, relax. I work from home",0.8899999999999864,4.0400000000000205,0,False,False,9
12,5e7f9714e74e0c66d2a04098,181.54,181.74,Yeah.,-0.040000000000020464,0.20000000000001705,0,False,True,1
13,5c5db893b40f3800011084b4,181.58,182.69,so this is the easy setup,-0.1599999999999966,1.1099999999999852,0,False,True,6
14,5e7f9714e74e0c66d2a04098,182.44,182.76,Mhm.,-0.25,0.3199999999999932,0,False,True,1
15,5c5db893b40f3800011084b4,182.69,183.56,for me.,-0.06999999999999318,0.8700000000000045,0,False,True,2
16,5e7f9714e74e0c66d2a04098,183.74,185.06,Yeah.,0.18000000000000682,1.3199999999999932,0,False,False,1
17,5c5db893b40f3800011084b4,184.14,184.65,Uh,-0.9200000000000159,0.5100000000000193,0,False,True,1
18,5e7f9714e74e0c66d2a04098,185.07,187.46,That's that's good. Set up working from home,0.4199999999999875,2.390000000000015,0,False,False,10
19,5c5db893b40f3800011084b4,187.64,188.65,Yeah.,0.1799999999999784,1.0100000000000193,0,False,False,1
20,5e7f9714e74e0c66d2a04098,187.84,190.66,"now. It was right. Yeah, me too. Working from home.",-0.8100000000000023,2.819999999999993,0,False,True,10
21,5c5db893b40f3800011084b4,191.34,192.35,Yeah.,0.6800000000000068,1.009999999999991,0,False,False,1
22,5e7f9714e74e0c66d2a04098,192.34,194.93,Yeah. So I'm in Jacksonville florida.,-0.009999999999990905,2.5900000000000034,0,False,True,7
23,5c5db893b40f3800011084b4,194.64,196.05,Okay,-0.29000000000002046,1.410000000000025,0,False,True,1
24,5e7f9714e74e0c66d2a04098,194.94,195.66,Which part to?,-1.1100000000000136,0.7199999999999989,1,True,True,3
25,5c5db893b40f3800011084b4,196.44,197.31,I'm in san Diego,0.7800000000000011,0.8700000000000045,0,False,False,5
26,5e7f9714e74e0c66d2a04098,197.24,197.44,Yeah.,-0.06999999999999318,0.19999999999998863,0,False,True,1
27,5c5db893b40f3800011084b4,197.31,198.06,California.,-0.12999999999999545,0.75,0,False,True,1
28,5e7f9714e74e0c66d2a04098,198.64,202.29,Oh California. Extreme from,0.5799999999999841,3.6500000000000057,0,False,False,4
29,5c5db893b40f3800011084b4,201.64,202.26,Yeah,-0.6500000000000057,0.6200000000000045,0,False,True,1
30,5e7f9714e74e0c66d2a04098,202.3,204.35,what? The doctor California? Right.,0.040000000000020464,2.049999999999983,2,False,False,5
31,5c5db893b40f3800011084b4,204.44,205.55,of course,0.09000000000000341,1.1100000000000136,0,False,False,2
32,5e7f9714e74e0c66d2a04098,205.54,209.14,"Yeah, totally. A project cost. Yeah,",-0.010000000000019327,3.5999999999999943,0,False,True,6
33,5c5db893b40f3800011084b4,209.14,209.35,mm,0.0,0.21000000000000796,0,False,False,1
34,5e7f9714e74e0c66d2a04098,209.15,212.84,but that's not how about the weather there today? Yeah.,-0.19999999999998863,3.6899999999999977,1,False,True,11
35,5c5db893b40f3800011084b4,212.64,215.52,That's perfect. That's 75,-0.20000000000001705,2.880000000000024,0,False,True,6
36,5e7f9714e74e0c66d2a04098,213.94,214.15,Mhm.,-1.5800000000000125,0.21000000000000796,0,False,True,1
37,5c5db893b40f3800011084b4,215.53,217.89,sunny. A few clouds,1.3799999999999955,2.359999999999985,0,False,False,4
38,5e7f9714e74e0c66d2a04098,217.5,218.04,Yeah,-0.38999999999998636,0.539999999999992,0,False,True,1
39,5c5db893b40f3800011084b4,217.89,218.85,but yeah.,-0.15000000000000568,0.960000000000008,0,False,True,2
40,5e7f9714e74e0c66d2a04098,219.04,220.79,that's good. And then,0.18999999999999773,1.75,0,False,False,5
41,5c5db893b40f3800011084b4,220.74,221.24,Yeah.,-0.04999999999998295,0.5,0,False,True,1
42,5e7f9714e74e0c66d2a04098,220.8,223.66,florida nowadays too much hot you know,-0.4399999999999977,2.859999999999985,0,False,True,7
43,5c5db893b40f3800011084b4,223.64,224.56,Yeah.,-0.020000000000010232,0.9200000000000159,0,False,True,1
44,5e7f9714e74e0c66d2a04098,224.14,226.26,it's around 100 100 plus,-0.4200000000000159,2.1200000000000045,0,False,True,6
45,5c5db893b40f3800011084b4,226.54,227.16,Oh,0.28000000000000114,0.6200000000000045,0,False,False,1
46,5e7f9714e74e0c66d2a04098,226.94,233.56,And and no rain. But fortunately after 15 days you trained today is outside raining Thunder town.,-0.21999999999999886,6.6200000000000045,0,False,True,17
47,5c5db893b40f3800011084b4,233.64,233.85,mm.,0.07999999999998408,0.21000000000000796,0,False,False,1
48,5e7f9714e74e0c66d2a04098,233.94,234.27,But a,0.09000000000000341,0.3300000000000125,0,False,False,2
49,5c5db893b40f3800011084b4,234.24,234.66,Okay.,-0.030000000000001137,0.4199999999999875,0,False,True,1
50,5e7f9714e74e0c66d2a04098,234.27,237.66,trained after 15 days it was too hard literally.,-0.38999999999998636,3.3899999999999864,0,False,True,9
51,5c5db893b40f3800011084b4,237.54,238.79,Yeah. Finally,-0.12000000000000455,1.25,0,False,True,2
52,5e7f9714e74e0c66d2a04098,238.54,239.07,"People,",-0.25,0.5300000000000011,0,False,True,1
53,5c5db893b40f3800011084b4,238.79,239.36,broke.,-0.28000000000000114,0.5700000000000216,0,False,True,1
54,5e7f9714e74e0c66d2a04098,239.64,244.86,people was avoiding totally at all to go outside because of the art weather.,0.2799999999999727,5.220000000000027,0,False,False,14
55,5c5db893b40f3800011084b4,245.24,245.75,Mhm.,0.37999999999999545,0.5099999999999909,0,False,False,1
56,5e7f9714e74e0c66d2a04098,245.54,246.68,Mhm. Yeah.,-0.21000000000000796,1.1400000000000148,0,False,True,2
57,5c5db893b40f3800011084b4,246.14,246.34,Yeah.,-0.5400000000000205,0.20000000000001705,0,False,True,1
58,5e7f9714e74e0c66d2a04098,246.69,248.35,But that's fine. That's cool.,0.3499999999999943,1.6599999999999966,0,False,False,7
59,5c5db893b40f3800011084b4,248.34,248.39,Uh,-0.009999999999990905,0.04999999999998295,0,False,True,1
60,5e7f9714e74e0c66d2a04098,248.35,248.56,Like,-0.03999999999999204,0.21000000000000796,0,False,True,1
61,5c5db893b40f3800011084b4,248.39,248.84,huh.,-0.17000000000001592,0.45000000000001705,0,False,True,1
62,5e7f9714e74e0c66d2a04098,248.94,251.16,California. Whether I know it's good. I,0.09999999999999432,2.219999999999999,0,False,False,8
63,5c5db893b40f3800011084b4,251.64,251.85,Okay.,0.47999999999998977,0.21000000000000796,0,False,False,1
64,5e7f9714e74e0c66d2a04098,251.74,255.13,I just been there for visiting san Francisco,-0.10999999999998522,3.3899999999999864,0,False,True,8
65,5c5db893b40f3800011084b4,254.44,254.94,Uh huh.,-0.6899999999999977,0.5,0,False,True,2
66,5e7f9714e74e0c66d2a04098,255.13,261.04,and they did not live there but I know the weather is mine is good. My colleagues,0.18999999999999773,5.910000000000025,0,False,False,17
67,5c5db893b40f3800011084b4,260.84,261.25,Yeah.,-0.20000000000004547,0.410000000000025,0,False,True,1
68,5e7f9714e74e0c66d2a04098,261.04,262.16,are movements up there.,-0.20999999999997954,1.1200000000000045,0,False,True,4
69,5c5db893b40f3800011084b4,263.04,264.84,Yeah it's a lot drier,0.8799999999999955,1.7999999999999545,0,False,False,6
70,5e7f9714e74e0c66d2a04098,264.34,264.66,Mhm.,-0.5,0.32000000000005,0,False,True,1
71,5c5db893b40f3800011084b4,264.85,266.36,in the southern part.,0.18999999999999773,1.509999999999991,0,False,False,4
72,5e7f9714e74e0c66d2a04098,266.04,267.26,Mhm. Yeah.,-0.3199999999999932,1.2199999999999704,0,False,True,2
73,5c5db893b40f3800011084b4,267.24,269.58,Um So that's a lot.,-0.01999999999998181,2.339999999999975,0,False,True,6
74,5e7f9714e74e0c66d2a04098,269.24,269.56,Okay.,-0.339999999999975,0.3199999999999932,0,False,True,1
75,5c5db893b40f3800011084b4,269.59,271.76,I like the dry heat so it's not so humid,0.029999999999972715,2.170000000000016,0,False,False,11
76,5e7f9714e74e0c66d2a04098,272.24,272.86,"Yeah, that's",0.4800000000000182,0.6200000000000045,0,False,False,3
77,5c5db893b40f3800011084b4,272.74,272.87,when,-0.12000000000000455,0.12999999999999545,0,False,True,1
78,5e7f9714e74e0c66d2a04098,272.86,273.26,good.,-0.009999999999990905,0.39999999999997726,0,False,True,1
79,5c5db893b40f3800011084b4,272.87,274.45,it gets humid it's too hot for me.,-0.38999999999998636,1.579999999999984,0,False,True,9
80,5e7f9714e74e0c66d2a04098,274.74,276.73,"Yeah, no",0.29000000000002046,1.990000000000009,0,False,False,2
81,5c5db893b40f3800011084b4,276.44,276.86,Mhm.,-0.29000000000002046,0.4200000000000159,0,False,True,1
82,5e7f9714e74e0c66d2a04098,276.73,279.4,I still it is there that it's good like the humid,-0.12999999999999545,2.669999999999959,0,False,True,12
83,5c5db893b40f3800011084b4,279.34,279.54,Yeah.,-0.060000000000002274,0.20000000000004547,0,False,True,1
