turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e97478f8b670f09dad1fd02,10.64,96.94,"mhm. Yeah. Oh. Mhm. Yeah. Okay. Mhm. Yeah. Okay. Yeah. Uh huh. Yeah. Mhm. No. Yeah. Uh huh Yeah. Oh, right. Mhm Yeah. Uh huh.",,86.3,0,False,False,25
1,5e8ad30c67bb9677e3970773,98.74,110.04,"Oh right. Yeah,",1.7999999999999972,11.300000000000011,0,False,False,3
2,5e97478f8b670f09dad1fd02,110.74,112.56,"High school, you me?",0.6999999999999886,1.8200000000000074,1,True,False,4
3,5e8ad30c67bb9677e3970773,112.54,115.26,yeah.,-0.01999999999999602,2.719999999999999,0,False,True,1
4,5e97478f8b670f09dad1fd02,113.24,114.24,"Uh huh Yeah,",-2.0200000000000102,1.0,0,False,True,3
5,5e8ad30c67bb9677e3970773,116.34,118.45,Uh,2.1000000000000085,2.1099999999999994,0,False,False,1
6,5e97478f8b670f09dad1fd02,116.84,117.05,but,-1.6099999999999994,0.20999999999999375,0,False,True,1
7,5e8ad30c67bb9677e3970773,118.46,125.16,"I don't know what's going on with like her name,",1.4099999999999966,6.700000000000003,0,False,False,12
8,5e97478f8b670f09dad1fd02,122.64,126.18,"you can take, you're fine. Are you",-2.519999999999996,3.5400000000000063,0,False,True,8
9,5e8ad30c67bb9677e3970773,126.14,126.35,mm,-0.04000000000000625,0.20999999999999375,0,False,True,1
10,5e97478f8b670f09dad1fd02,126.18,127.65,on your laptop or computer?,-0.1699999999999875,1.4699999999999989,1,True,True,5
11,5e8ad30c67bb9677e3970773,128.04,135.96,"I'm on my laptop,",0.38999999999998636,7.920000000000016,0,False,False,5
12,5e97478f8b670f09dad1fd02,131.04,136.36,Yes. What's your name?,-4.920000000000016,5.320000000000022,1,True,True,5
13,5e8ad30c67bb9677e3970773,136.84,139.25,I'm carl,0.47999999999998977,2.4099999999999966,0,False,False,3
14,5e97478f8b670f09dad1fd02,138.64,139.45,Mm but,-0.6100000000000136,0.8100000000000023,0,False,True,2
15,5e8ad30c67bb9677e3970773,139.26,140.11,I'm going,-0.18999999999999773,0.8500000000000227,0,False,True,3
16,5e97478f8b670f09dad1fd02,139.94,140.35,repeat,-0.17000000000001592,0.4099999999999966,0,False,True,1
17,5e8ad30c67bb9677e3970773,140.11,141.76,to,-0.23999999999998067,1.6499999999999773,0,False,True,1
18,5e97478f8b670f09dad1fd02,140.35,140.75,ballot?,-1.4099999999999966,0.4000000000000057,1,True,True,1
19,5e8ad30c67bb9677e3970773,141.77,142.36,um,1.0200000000000102,0.5900000000000034,0,False,False,1
20,5e97478f8b670f09dad1fd02,142.54,144.96,"Yeah. Can you get your name? I'm so sorry,",0.1799999999999784,2.420000000000016,1,False,False,10
21,5e8ad30c67bb9677e3970773,145.34,148.16,it's carl how are you?,0.37999999999999545,2.819999999999993,1,True,False,6
22,5e97478f8b670f09dad1fd02,148.04,148.76,Carl.,-0.12000000000000455,0.7199999999999989,0,False,True,1
23,5e8ad30c67bb9677e3970773,148.64,150.55,Yeah. Yeah.,-0.12000000000000455,1.910000000000025,0,False,True,2
24,5e97478f8b670f09dad1fd02,150.64,152.26,Okay. Dorothy.,0.08999999999997499,1.6200000000000045,0,False,False,2
25,5e8ad30c67bb9677e3970773,152.54,159.65,Can you see my camera? It's not showing myself in the corner.,0.28000000000000114,7.110000000000014,1,False,False,13
26,5e97478f8b670f09dad1fd02,159.24,162.06,"Right. Yeah, I think you",-0.4099999999999966,2.819999999999993,0,False,True,5
27,5e8ad30c67bb9677e3970773,161.84,175.34,Yeah. Okay. Okay. What have you been up to today? Yeah.,-0.21999999999999886,13.5,1,False,True,11
28,5e97478f8b670f09dad1fd02,175.34,176.45,I'm,0.0,1.1099999999999852,0,False,False,2
29,5e8ad30c67bb9677e3970773,176.34,176.66,Mhm.,-0.10999999999998522,0.3199999999999932,0,False,True,1
30,5e97478f8b670f09dad1fd02,176.84,186.37,"I went shopping for like, like groceries because I haven't yeah, I like needed to get some groceries and I've been chilling. Like I'm just",0.18000000000000682,9.530000000000001,0,False,False,28
31,5e8ad30c67bb9677e3970773,186.34,186.66,"Yeah,",-0.030000000000001137,0.3199999999999932,0,False,True,1
32,5e97478f8b670f09dad1fd02,186.37,190.66,"going on my hammock. I should be job hunting, but I'm not",-0.28999999999999204,4.289999999999992,0,False,True,13
33,5e8ad30c67bb9677e3970773,191.64,193.76,it looks nice outside there.,0.9799999999999898,2.1200000000000045,0,False,False,5
34,5e97478f8b670f09dad1fd02,194.34,197.05,"Oh, it's gorgeous right now. Where are you from?",0.5800000000000125,2.710000000000008,1,True,False,10
35,5e8ad30c67bb9677e3970773,197.74,209.16,"Um I'm in Kansas, the biggest city but still nobody's ever heard of it, but the weather here is actually pretty nice. I might go outside later.",0.6899999999999977,11.419999999999987,0,False,False,29
36,5e97478f8b670f09dad1fd02,209.84,213.96,Yeah. Um I have a couple friends from Kansas,0.6800000000000068,4.1200000000000045,0,False,False,9
37,5e8ad30c67bb9677e3970773,215.06,216.62,What city are then?,1.0999999999999943,1.5600000000000023,1,True,False,4
38,5e97478f8b670f09dad1fd02,217.74,218.25,I think.,1.1200000000000045,0.5099999999999909,0,False,False,2
39,5e8ad30c67bb9677e3970773,218.04,224.26,Mhm Yeah.,-0.21000000000000796,6.219999999999999,0,False,True,2
40,5e97478f8b670f09dad1fd02,224.04,224.25,Mhm,-0.21999999999999886,0.21000000000000796,0,False,True,1
41,5e8ad30c67bb9677e3970773,225.2,228.26,Oh Topeka. Yeah.,0.9499999999999886,3.0600000000000023,0,False,False,3
42,5e97478f8b670f09dad1fd02,228.74,233.96,"So I think so, Yeah, I go to Duke. So",0.4800000000000182,5.219999999999999,0,False,False,10
43,5e8ad30c67bb9677e3970773,233.54,234.35,Mhm,-0.4200000000000159,0.8100000000000023,0,False,True,1
44,5e97478f8b670f09dad1fd02,234.54,236.06,people are from like everywhere.,0.18999999999999773,1.5200000000000102,0,False,False,5
45,5e8ad30c67bb9677e3970773,236.54,243.16,Oh that's cool. My grandfather used to be a professor there.,0.47999999999998977,6.6200000000000045,0,False,False,12
46,5e97478f8b670f09dad1fd02,243.34,245.8,Oh dope. Are you like,0.18000000000000682,2.460000000000008,0,False,False,5
47,5e8ad30c67bb9677e3970773,245.74,246.82,"Yeah,",-0.060000000000002274,1.079999999999984,0,False,True,1
48,5e97478f8b670f09dad1fd02,245.8,247.16,in high school or,-1.0199999999999818,1.3599999999999852,0,False,True,4
49,5e8ad30c67bb9677e3970773,246.82,251.56,he's your nephew. Mhm.,-0.3400000000000034,4.740000000000009,0,False,True,5
50,5e97478f8b670f09dad1fd02,250.14,254.25,are you still in high school? Like what?,-1.420000000000016,4.110000000000014,2,True,True,8
51,5e8ad30c67bb9677e3970773,255.04,266.65,"Yeah, I graduated and I'm going to you and t in the fall for a mathematics major. Okay.",0.789999999999992,11.609999999999985,0,False,False,19
52,5e97478f8b670f09dad1fd02,268.34,271.16,"Well, yeah, that's major.",1.6899999999999977,2.82000000000005,0,False,False,5
53,5e8ad30c67bb9677e3970773,271.74,273.45,I feel a little kind,0.5799999999999841,1.7099999999999795,0,False,False,5
54,5e97478f8b670f09dad1fd02,273.34,273.66,Yeah.,-0.11000000000001364,0.32000000000005,0,False,True,1
55,5e8ad30c67bb9677e3970773,273.45,274.73,of guilty because,-0.21000000000003638,1.2800000000000296,0,False,True,3
56,5e97478f8b670f09dad1fd02,274.34,274.54,"Yeah,",-0.3900000000000432,0.20000000000004547,0,False,True,1
57,5e8ad30c67bb9677e3970773,274.73,284.65,"all of my classes had their grades frozen like at the beginning of March, so I didn't do anything for the last two months. Mhm.",0.18999999999999773,9.919999999999959,0,False,False,26
58,5e97478f8b670f09dad1fd02,284.64,288.26,"I'm like, wait, what? That's wild. That's so nice",-0.009999999999990905,3.6200000000000045,1,False,True,12
59,5e8ad30c67bb9677e3970773,287.74,288.36,I know.,-0.5199999999999818,0.6200000000000045,0,False,True,2
60,5e97478f8b670f09dad1fd02,288.64,289.9,class. Yeah.,0.2799999999999727,1.259999999999991,0,False,False,2
61,5e8ad30c67bb9677e3970773,289.14,289.34,Yeah.,-0.7599999999999909,0.19999999999998863,0,False,True,1
62,5e97478f8b670f09dad1fd02,289.91,291.76,Classic finished for me like two,0.57000000000005,1.849999999999966,0,False,False,6
63,5e8ad30c67bb9677e3970773,291.74,291.97,And,-0.01999999999998181,0.2300000000000182,0,False,True,1
64,5e97478f8b670f09dad1fd02,291.76,292.01,weeks,-0.21000000000003638,0.25,0,False,True,1
65,5e8ad30c67bb9677e3970773,291.97,292.25,then,-0.03999999999996362,0.2799999999999727,0,False,True,1
66,5e97478f8b670f09dad1fd02,292.01,293.95,ago And I've just been bumming around.,-0.2400000000000091,1.9399999999999977,0,False,True,8
67,5e8ad30c67bb9677e3970773,294.44,300.16,I felt that I heard a lot of colleges were,0.4900000000000091,5.720000000000027,0,False,False,10
68,5e97478f8b670f09dad1fd02,299.44,299.65,Mm.,-0.7200000000000273,0.20999999999997954,0,False,True,1
69,5e8ad30c67bb9677e3970773,300.17,304.95,giving an optional pass fail instead of like,0.5200000000000387,4.779999999999973,0,False,False,8
70,5e97478f8b670f09dad1fd02,305.44,305.76,Yes.,0.4900000000000091,0.3199999999999932,0,False,False,1
71,5e8ad30c67bb9677e3970773,305.54,307.36,great spirits. Gp,-0.21999999999997044,1.8199999999999932,0,False,True,3
72,5e97478f8b670f09dad1fd02,308.84,310.61,Yeah. Yeah I'm doing,1.4799999999999613,1.7700000000000387,0,False,False,5
73,5e8ad30c67bb9677e3970773,310.44,310.95,"mhm,",-0.17000000000001592,0.5099999999999909,0,False,True,1
74,5e97478f8b670f09dad1fd02,310.61,314.0,like automatically transition to pass fail. But,-0.339999999999975,3.3899999999999864,0,False,True,7
