turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5eb97fbd6e48da0780149530,4.28,293.05,"she Mhm. Uh huh. Okay. Okay. Okay. Uh huh. Yeah. Yeah. Oh, mm. Yeah. Yeah. Come on. Mm hmm. You don't know. Uh huh. What? Yeah. What? Uh Mhm Mhm. Yeah. Uh huh. Yeah. Mhm. Mhm. Yeah. Yeah. Yeah, I can. Uh mm. Oh, some have changed forever. Not for better. I'm gone. Gone. And some remain friends. I feel we go some are dead and some are living. Oh, compares with their meaning. That's something that will be for. I know often stop and think about them. Smile. Yeah, I got in my face. Oh, people better. Right. Oh yeah. Uh huh.",,288.77000000000004,2,False,False,106
1,5ea2b420ed31711d6868e275,297.74,298.25,Oh,4.689999999999998,0.5099999999999909,0,False,False,1
2,5eb97fbd6e48da0780149530,299.24,299.86,Hi.,0.9900000000000091,0.6200000000000045,0,False,False,1
3,5ea2b420ed31711d6868e275,299.54,300.46,"yeah,",-0.3199999999999932,0.9199999999999591,0,False,True,1
4,5eb97fbd6e48da0780149530,301.64,302.41,All,1.1800000000000068,0.7700000000000387,0,False,False,1
5,5ea2b420ed31711d6868e275,302.34,302.51,It's,-0.07000000000005002,0.17000000000001592,0,False,True,2
6,5eb97fbd6e48da0780149530,302.41,302.66,right,-0.0999999999999659,0.25,0,False,True,1
7,5ea2b420ed31711d6868e275,302.51,302.85,not,-0.1500000000000341,0.34000000000003183,0,False,True,1
8,5eb97fbd6e48da0780149530,303.84,305.16,cole How's it going?,0.9899999999999523,1.32000000000005,1,True,False,5
9,5ea2b420ed31711d6868e275,306.44,307.46,as we're good.,1.2799999999999727,1.0199999999999818,0,False,False,4
10,5eb97fbd6e48da0780149530,307.94,308.96,What is it? Excellent.,0.4800000000000182,1.0199999999999818,1,False,False,4
11,5ea2b420ed31711d6868e275,309.74,310.55,Ezra,0.7800000000000296,0.8100000000000023,0,False,False,1
12,5eb97fbd6e48da0780149530,310.04,310.25,Okay.,-0.5099999999999909,0.20999999999997954,0,False,True,1
13,5ea2b420ed31711d6868e275,310.56,310.93,Ez,0.3100000000000023,0.37000000000000455,0,False,False,1
14,5eb97fbd6e48da0780149530,310.84,311.73,Azria.,-0.09000000000003183,0.8900000000000432,0,False,True,1
15,5ea2b420ed31711d6868e275,310.93,311.45,R A,-0.8000000000000114,0.5199999999999818,0,False,True,2
16,5eb97fbd6e48da0780149530,311.77,313.78,Okay. Got you. I,0.3199999999999932,2.009999999999991,0,False,False,4
17,5ea2b420ed31711d6868e275,313.64,313.84,Yeah.,-0.13999999999998636,0.19999999999998863,0,False,True,1
18,5eb97fbd6e48da0780149530,313.78,316.76,like I like the flowers. You got. That's really aesthetic there.,-0.060000000000002274,2.980000000000018,0,False,True,12
19,5ea2b420ed31711d6868e275,316.94,317.19,"Oh,",0.18000000000000682,0.25,0,False,False,1
20,5eb97fbd6e48da0780149530,317.14,317.42,"Oh,",-0.05000000000001137,0.28000000000002956,0,False,True,1
21,5ea2b420ed31711d6868e275,317.19,317.56,thank,-0.2300000000000182,0.37000000000000455,0,False,True,1
22,5eb97fbd6e48da0780149530,317.43,317.82,thank,-0.12999999999999545,0.38999999999998636,0,False,True,1
