turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f26523b9e04df29fc462ea6,37.24,292.6,"Yeah. Oh yeah. Yeah. Mhm. Okay. Okay. Oh Mhm mm. Okay. Yeah. Mhm Yeah. Okay. Okay. Yeah. Yeah. What? Yeah. Hey, how's it going?",,255.36,2,True,False,25
1,56df9a836b4093000bd896c7,292.94,293.67,"Hey, how you",0.339999999999975,0.7300000000000182,0,False,False,3
2,5f26523b9e04df29fc462ea6,293.54,294.46,I'm,-0.12999999999999545,0.9199999999999591,0,False,True,2
3,56df9a836b4093000bd896c7,293.67,294.26,doing?,-0.7899999999999636,0.589999999999975,1,True,True,1
4,5f26523b9e04df29fc462ea6,294.46,296.75,pretty solid. Yeah. What do you?,0.19999999999998863,2.2900000000000205,1,True,False,6
5,56df9a836b4093000bd896c7,295.94,297.98,Mm hmm. Sorry for keeping,-0.8100000000000023,2.0400000000000205,0,False,True,5
6,5f26523b9e04df29fc462ea6,297.84,299.04,Oh,-0.1400000000000432,1.2000000000000455,0,False,True,1
7,56df9a836b4093000bd896c7,297.98,298.76,you waiting a bit.,-1.0600000000000023,0.7799999999999727,0,False,True,4
8,5f26523b9e04df29fc462ea6,299.05,300.56,"yeah, I'm good.",0.29000000000002046,1.509999999999991,0,False,False,4
9,56df9a836b4093000bd896c7,300.54,301.16,Mhm.,-0.01999999999998181,0.6200000000000045,0,False,True,1
10,5f26523b9e04df29fc462ea6,300.94,302.35,What have you been up to today?,-0.22000000000002728,1.410000000000025,1,True,True,7
11,56df9a836b4093000bd896c7,303.04,307.04,Uh Some family came by. We had some conversations,0.6899999999999977,4.0,0,False,False,9
12,5f26523b9e04df29fc462ea6,306.74,307.85,Mhm.,-0.30000000000001137,1.1100000000000136,0,False,True,1
13,56df9a836b4093000bd896c7,307.04,309.85,and just talk.,-0.8100000000000023,2.8100000000000023,0,False,True,3
14,5f26523b9e04df29fc462ea6,308.94,310.88,Are you,-0.910000000000025,1.9399999999999977,0,False,True,2
15,56df9a836b4093000bd896c7,310.54,310.95,Uh huh.,-0.339999999999975,0.40999999999996817,0,False,True,2
16,5f26523b9e04df29fc462ea6,310.89,319.95,where you were you located? I'm up in Portland Oregon right now and it's been like very dreary weather and I've not been having it because it was so nice out yesterday.,-0.060000000000002274,9.060000000000002,1,False,True,35
17,56df9a836b4093000bd896c7,319.74,322.57,I'm in Minnesota.,-0.20999999999997954,2.829999999999984,0,False,True,4
18,5f26523b9e04df29fc462ea6,322.54,322.78,I,-0.029999999999972715,0.23999999999995225,0,False,True,1
19,56df9a836b4093000bd896c7,322.58,323.25,And,-0.19999999999998863,0.6700000000000159,0,False,True,1
20,5f26523b9e04df29fc462ea6,322.78,323.76,got you. Okay.,-0.4700000000000273,0.9800000000000182,0,False,True,3
21,56df9a836b4093000bd896c7,324.04,326.08,"yeah, so it's been snowing. It's",0.28000000000002956,2.0399999999999636,0,False,False,8
22,5f26523b9e04df29fc462ea6,326.04,326.21,Oh,-0.03999999999996362,0.16999999999995907,0,False,True,1
23,56df9a836b4093000bd896c7,326.09,326.33,it's,-0.12000000000000455,0.2400000000000091,0,False,True,2
24,5f26523b9e04df29fc462ea6,326.22,326.46,yes.,-0.1099999999999568,0.23999999999995225,0,False,True,1
25,56df9a836b4093000bd896c7,326.33,328.36,"not like today, but it has been snowing.",-0.12999999999999545,2.0300000000000296,0,False,True,8
