turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5de1ef4ecb1b08240f97671a,11.24,147.85,Uh huh. Yeah. Yeah. Yeah. Um Uh huh. What? Uh huh. Oh. Mhm. Okay. Oh. Mhm. The popular what? Yeah. Yeah. Yeah. Mhm.,,136.60999999999999,2,False,False,23
1,5e67f0321e4f0a0a657c1d08,202.84,203.56,Hello.,54.99000000000001,0.7199999999999989,0,False,False,1
2,5de1ef4ecb1b08240f97671a,203.64,206.66,"Hello, how are you?",0.07999999999998408,3.0200000000000102,1,True,False,4
3,5e67f0321e4f0a0a657c1d08,206.94,208.02,I'm doing good.,0.28000000000000114,1.0800000000000125,0,False,False,4
4,5de1ef4ecb1b08240f97671a,207.64,208.26,"Yeah,",-0.3800000000000239,0.6200000000000045,0,False,True,1
5,5e67f0321e4f0a0a657c1d08,208.03,208.86,How about you?,-0.22999999999998977,0.8300000000000125,1,True,True,3
6,5de1ef4ecb1b08240f97671a,208.84,214.36,I'm doing great. Uh It's interesting to actually have someone show up to these.,-0.020000000000010232,5.52000000000001,0,False,True,16
7,5e67f0321e4f0a0a657c1d08,215.14,215.53,Oh,0.7799999999999727,0.3900000000000148,0,False,False,1
8,5de1ef4ecb1b08240f97671a,215.24,215.44,Yeah.,-0.28999999999999204,0.19999999999998863,0,False,True,1
9,5e67f0321e4f0a0a657c1d08,215.54,216.4,okay. I've,0.09999999999999432,0.8600000000000136,0,False,False,3
10,5de1ef4ecb1b08240f97671a,216.34,216.55,Good.,-0.060000000000002274,0.21000000000000796,0,False,True,1
11,5e67f0321e4f0a0a657c1d08,216.4,218.65,"actually done this before just once,",-0.15000000000000568,2.25,0,False,True,6
12,5de1ef4ecb1b08240f97671a,219.04,219.23,I,0.38999999999998636,0.18999999999999773,0,False,False,1
13,5e67f0321e4f0a0a657c1d08,219.04,219.85,so.,-0.18999999999999773,0.8100000000000023,0,False,True,1
14,5de1ef4ecb1b08240f97671a,219.23,220.86,"have as well. Yeah,",-0.6200000000000045,1.6300000000000239,0,False,True,4
15,5e67f0321e4f0a0a657c1d08,220.44,221.06,Oh yeah.,-0.4200000000000159,0.6200000000000045,0,False,True,2
16,5de1ef4ecb1b08240f97671a,221.44,221.84,I,0.37999999999999545,0.4000000000000057,0,False,False,1
17,5e67f0321e4f0a0a657c1d08,221.74,221.87,So,-0.09999999999999432,0.12999999999999545,0,False,True,1
18,5de1ef4ecb1b08240f97671a,221.84,221.98,I've,-0.030000000000001137,0.13999999999998636,0,False,True,2
19,5e67f0321e4f0a0a657c1d08,221.87,222.04,what,-0.10999999999998522,0.1699999999999875,0,False,True,1
20,5de1ef4ecb1b08240f97671a,221.98,222.46,attempt,-0.060000000000002274,0.4800000000000182,0,False,True,1
21,5e67f0321e4f0a0a657c1d08,222.05,224.26,we've stood up the last time?,-0.4099999999999966,2.2099999999999795,1,True,True,7
22,5de1ef4ecb1b08240f97671a,224.54,228.76,"yeah, it worked the first time, it failed the second time,",0.28000000000000114,4.219999999999999,0,False,False,11
23,5e67f0321e4f0a0a657c1d08,229.04,229.76,"Okay,",0.28000000000000114,0.7199999999999989,0,False,False,1
24,5de1ef4ecb1b08240f97671a,229.34,231.04,so. Yeah.,-0.4199999999999875,1.6999999999999886,0,False,True,2
25,5e67f0321e4f0a0a657c1d08,230.54,234.36,well that's not. It always sucks when you're supposed,-0.5,3.8200000000000216,0,False,True,11
26,5de1ef4ecb1b08240f97671a,234.14,234.34,Uh huh.,-0.22000000000002728,0.20000000000001705,0,False,True,2
27,5e67f0321e4f0a0a657c1d08,234.36,239.54,"to be there, you're supposed to have a conversation and the other person doesn't show up, so",0.020000000000010232,5.179999999999978,0,False,False,19
28,5de1ef4ecb1b08240f97671a,239.24,239.56,Yeah.,-0.29999999999998295,0.3199999999999932,0,False,True,1
29,5e67f0321e4f0a0a657c1d08,239.54,239.96,it's like,-0.020000000000010232,0.4200000000000159,0,False,True,3
30,5de1ef4ecb1b08240f97671a,239.94,240.74,"Yeah,",-0.020000000000010232,0.8000000000000114,0,False,True,1
31,5e67f0321e4f0a0a657c1d08,240.74,242.26,just wasted a lot of time.,0.0,1.5199999999999818,0,False,False,6
32,5de1ef4ecb1b08240f97671a,242.74,245.56,"I know because you plan your day around this a little bit, you know,",0.4800000000000182,2.819999999999993,0,False,False,14
33,5e67f0321e4f0a0a657c1d08,245.84,247.01,"Yeah, I know.",0.28000000000000114,1.1699999999999875,0,False,False,3
34,5de1ef4ecb1b08240f97671a,246.84,247.14,little,-0.1699999999999875,0.29999999999998295,0,False,True,1
35,5e67f0321e4f0a0a657c1d08,247.02,247.66,So,-0.11999999999997613,0.6399999999999864,0,False,True,1
36,5de1ef4ecb1b08240f97671a,247.14,247.65,bit,-0.5200000000000102,0.5100000000000193,0,False,True,1
37,5e67f0321e4f0a0a657c1d08,247.67,255.75,"uh anyway, let me to introduce myself. My name is boss. I live in michigan, east Lansing michigan",0.01999999999998181,8.080000000000013,0,False,False,18
38,5de1ef4ecb1b08240f97671a,255.74,255.95,"right,",-0.009999999999990905,0.20999999999997954,0,False,True,1
39,5e67f0321e4f0a0a657c1d08,256.44,261.65,and I'm working here as a chemical engineer in a nuclear facility.,0.4900000000000091,5.2099999999999795,0,False,False,13
40,5de1ef4ecb1b08240f97671a,262.64,264.66,"awesome. Very interesting,",0.9900000000000091,2.0200000000000387,0,False,False,3
41,5e67f0321e4f0a0a657c1d08,264.54,265.56,Really,-0.12000000000000455,1.0199999999999818,0,False,True,1
42,5de1ef4ecb1b08240f97671a,264.66,266.16,very interesting. Nice to meet you.,-0.8999999999999773,1.5,0,False,True,6
43,5e67f0321e4f0a0a657c1d08,266.64,267.1,nice to meet,0.47999999999996135,0.4600000000000364,0,False,False,3
44,5de1ef4ecb1b08240f97671a,267.04,267.88,Um,-0.060000000000002274,0.839999999999975,0,False,True,1
45,5e67f0321e4f0a0a657c1d08,267.1,267.45,you.,-0.7799999999999727,0.3499999999999659,0,False,True,1
46,5de1ef4ecb1b08240f97671a,267.89,276.26,I actually live in Western new york um which is uh do you know where buffalo new york is?,0.4399999999999977,8.370000000000005,1,True,False,19
47,5e67f0321e4f0a0a657c1d08,276.74,278.06,I've actually been to Buffalo.,0.4800000000000182,1.3199999999999932,0,False,False,6
48,5de1ef4ecb1b08240f97671a,278.54,279.65,"Okay, I'm about an hour",0.4800000000000182,1.1099999999999568,0,False,False,6
49,5e67f0321e4f0a0a657c1d08,279.44,279.76,Mhm.,-0.20999999999997954,0.3199999999999932,0,False,True,1
50,5de1ef4ecb1b08240f97671a,279.65,280.55,and a half from there,-0.11000000000001364,0.9000000000000341,0,False,True,5
51,5e67f0321e4f0a0a657c1d08,280.84,281.35,Okay.,0.2899999999999636,0.5100000000000477,0,False,False,1
52,5de1ef4ecb1b08240f97671a,281.54,288.91,so that that's where I live. Um I work in the construction wholesale supply industry as,0.18999999999999773,7.3700000000000045,0,False,False,17
53,5e67f0321e4f0a0a657c1d08,288.64,289.06,Mhm.,-0.27000000000003865,0.4200000000000159,0,False,True,1
54,5de1ef4ecb1b08240f97671a,288.91,290.26,a project manager.,-0.14999999999997726,1.349999999999966,0,False,True,3
55,5e67f0321e4f0a0a657c1d08,291.04,291.85,Oh,0.7800000000000296,0.8100000000000023,0,False,False,1
56,5de1ef4ecb1b08240f97671a,291.44,292.25,Um,-0.410000000000025,0.8100000000000023,0,False,True,1
57,5e67f0321e4f0a0a657c1d08,291.86,292.26,okay.,-0.38999999999998636,0.39999999999997726,0,False,True,1
