turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5f1f02dff0628308ca27f3ba,8.04,18.15,Uh huh. Yeah.,,10.11,0,False,False,3
1,5eec1b5d66afb73e27bb8c96,22.44,22.65,Okay.,4.290000000000003,0.2099999999999973,0,False,False,1
2,5f1f02dff0628308ca27f3ba,22.84,23.76,Hi.,0.19000000000000128,0.9200000000000017,0,False,False,1
3,5eec1b5d66afb73e27bb8c96,23.94,24.56,Hi.,0.17999999999999972,0.6199999999999974,0,False,False,1
4,5f1f02dff0628308ca27f3ba,24.34,26.65,"Yeah. Hi, can you hear me okay?",-0.21999999999999886,2.3099999999999987,1,True,True,7
5,5eec1b5d66afb73e27bb8c96,27.24,27.96,Um,0.5899999999999999,0.7200000000000024,0,False,False,1
6,5f1f02dff0628308ca27f3ba,27.54,27.74,Yeah.,-0.4200000000000017,0.1999999999999993,0,False,True,1
7,5eec1b5d66afb73e27bb8c96,28.34,30.16,"Yeah, yep.",0.6000000000000014,1.8200000000000003,0,False,False,2
8,5f1f02dff0628308ca27f3ba,30.74,35.35,"Okay, great. Mhm Hi, I'm marissa.",0.5799999999999983,4.610000000000003,0,False,False,7
9,5eec1b5d66afb73e27bb8c96,34.24,36.56,Yes. Are you my partner?,-1.1099999999999994,2.3200000000000003,1,True,True,5
10,5f1f02dff0628308ca27f3ba,36.64,38.35,"Yes, I think so.",0.0799999999999983,1.7100000000000009,0,False,False,4
11,5eec1b5d66afb73e27bb8c96,38.14,39.85,Mm hmm.,-0.21000000000000085,1.7100000000000009,0,False,True,2
12,5f1f02dff0628308ca27f3ba,39.64,42.06,This um,-0.21000000000000085,2.4200000000000017,0,False,True,2
13,5eec1b5d66afb73e27bb8c96,41.14,42.66,I'm Sheila.,-0.9200000000000017,1.519999999999996,0,False,True,3
14,5f1f02dff0628308ca27f3ba,43.14,44.96,"Hi, nice to meet you.",0.480000000000004,1.8200000000000003,0,False,False,5
15,5eec1b5d66afb73e27bb8c96,44.64,46.05,Like Richie too.,-0.3200000000000003,1.4099999999999966,0,False,True,3
16,5f1f02dff0628308ca27f3ba,46.44,49.16,Um how did you find out about prolific?,0.39000000000000057,2.719999999999999,1,True,False,8
17,5eec1b5d66afb73e27bb8c96,49.74,52.46,Um My husband's using it to.,0.5800000000000054,2.719999999999999,0,False,False,7
18,5f1f02dff0628308ca27f3ba,53.04,53.38,"Oh,",0.5799999999999983,0.3400000000000034,0,False,False,1
19,5eec1b5d66afb73e27bb8c96,53.24,54.49,Mm,-0.14000000000000057,1.25,0,False,True,1
20,5f1f02dff0628308ca27f3ba,53.38,54.06,nice.,-1.1099999999999994,0.6799999999999997,0,False,True,1
21,5eec1b5d66afb73e27bb8c96,54.49,56.26,and he's the one who referred it to me.,0.4299999999999997,1.769999999999996,0,False,False,10
22,5f1f02dff0628308ca27f3ba,56.64,65.06,"Yeah, my brother found it. He's always finding stuff like that and he told me is a great way to just make like a little bit of extra money on the side.",0.38000000000000256,8.420000000000002,0,False,False,33
23,5eec1b5d66afb73e27bb8c96,64.64,65.66,Mm,-0.4200000000000017,1.019999999999996,0,False,True,1
24,5f1f02dff0628308ca27f3ba,66.14,75.86,"Yeah. Um but I think this is the first time I've ever done one that was like not just a survey, like I have to talk to someone online.",0.480000000000004,9.719999999999999,0,False,False,30
25,5eec1b5d66afb73e27bb8c96,75.44,84.16,"Yeah, I've done once, but it was like um somebody that interview me about some products.",-0.4200000000000017,8.719999999999999,0,False,True,17
26,5f1f02dff0628308ca27f3ba,84.24,87.86,"Mm Yeah, like a focus group kind of thing.",0.0799999999999983,3.6200000000000045,0,False,False,9
27,5eec1b5d66afb73e27bb8c96,87.84,89.66,Yeah. Something like that.,-0.01999999999999602,1.8199999999999932,0,False,True,4
28,5f1f02dff0628308ca27f3ba,90.24,90.6,Yeah.,0.5799999999999983,0.35999999999999943,0,False,False,1
29,5eec1b5d66afb73e27bb8c96,90.44,90.73,What,-0.1599999999999966,0.29000000000000625,0,False,True,1
30,5f1f02dff0628308ca27f3ba,90.61,91.26,Nice.,-0.12000000000000455,0.6500000000000057,0,False,True,1
31,5eec1b5d66afb73e27bb8c96,90.73,92.26,state are you from?,-0.5300000000000011,1.5300000000000011,1,True,True,4
32,5f1f02dff0628308ca27f3ba,92.78,94.06,I'm from new york.,0.519999999999996,1.2800000000000011,0,False,False,5
33,5eec1b5d66afb73e27bb8c96,94.44,95.36,"Okay,",0.37999999999999545,0.9200000000000017,0,False,False,1
34,5f1f02dff0628308ca27f3ba,94.94,96.26,Yeah. What about you,-0.4200000000000017,1.3200000000000074,0,False,True,4
35,5eec1b5d66afb73e27bb8c96,96.74,98.26,I'm from Arkansas.,0.47999999999998977,1.5200000000000102,0,False,False,4
36,5f1f02dff0628308ca27f3ba,98.84,99.74,this?,0.5799999999999983,0.8999999999999915,1,True,False,1
37,5eec1b5d66afb73e27bb8c96,99.74,102.95,"Yeah, but I'm really from the Philippines,",0.0,3.210000000000008,0,False,False,8
38,5f1f02dff0628308ca27f3ba,102.64,104.46,"Oh, cool. When did you move here?",-0.3100000000000023,1.8199999999999932,1,True,True,7
39,5eec1b5d66afb73e27bb8c96,105.14,108.16,like mm A year ago.,0.6800000000000068,3.019999999999996,0,False,False,5
40,5f1f02dff0628308ca27f3ba,108.84,110.76,"Oh, wow. So very recently,",0.6800000000000068,1.9200000000000017,0,False,False,5
41,5eec1b5d66afb73e27bb8c96,110.74,111.96,Yeah.,-0.020000000000010232,1.2199999999999989,0,False,True,1
42,5f1f02dff0628308ca27f3ba,112.34,112.47,did,0.38000000000000966,0.12999999999999545,0,False,False,1
43,5eec1b5d66afb73e27bb8c96,112.34,112.76,Mhm.,-0.12999999999999545,0.4200000000000017,0,False,True,1
44,5f1f02dff0628308ca27f3ba,112.47,115.46,you have to move for your job or you just wanted to move?,-0.29000000000000625,2.989999999999995,1,True,True,13
45,5eec1b5d66afb73e27bb8c96,116.54,119.56,"I'm over here because my husband, because he's from here.",1.0800000000000125,3.019999999999996,0,False,False,12
46,5f1f02dff0628308ca27f3ba,120.04,121.54,Mhm. Actually,0.480000000000004,1.5,0,False,False,2
47,5eec1b5d66afb73e27bb8c96,121.04,121.66,Mm hmm.,-0.5,0.6199999999999903,0,False,True,2
48,5f1f02dff0628308ca27f3ba,121.54,123.56,like wanting to be closer to family and stuff?,-0.11999999999999034,2.019999999999996,1,True,True,9
49,5eec1b5d66afb73e27bb8c96,123.74,124.66,Yeah.,0.1799999999999926,0.9200000000000017,0,False,False,1
50,5f1f02dff0628308ca27f3ba,125.14,126.54,"Oh, nice. Do",0.480000000000004,1.4000000000000057,0,False,False,3
51,5eec1b5d66afb73e27bb8c96,126.44,127.16,Mhm.,-0.10000000000000853,0.7199999999999989,0,False,True,1
52,5f1f02dff0628308ca27f3ba,126.54,128.45,you like it so far? Is it very different?,-0.6199999999999903,1.9099999999999824,2,True,True,9
53,5eec1b5d66afb73e27bb8c96,129.24,131.55,It's very different.,0.7900000000000205,2.3100000000000023,0,False,False,4
54,5f1f02dff0628308ca27f3ba,131.24,132.5,"Yeah,",-0.3100000000000023,1.259999999999991,0,False,True,1
55,5eec1b5d66afb73e27bb8c96,132.34,133.06,Mm,-0.1599999999999966,0.7199999999999989,0,False,True,1
56,5f1f02dff0628308ca27f3ba,132.5,134.36,I can imagine.,-0.5600000000000023,1.8600000000000136,0,False,True,3
57,5eec1b5d66afb73e27bb8c96,133.94,136.76,"Oh yeah, the culture is just so different.",-0.4200000000000159,2.819999999999993,0,False,True,8
58,5f1f02dff0628308ca27f3ba,137.44,138.06,Yeah.,0.6800000000000068,0.6200000000000045,0,False,False,1
59,5eec1b5d66afb73e27bb8c96,138.34,140.65,"The food, weather,",0.28000000000000114,2.3100000000000023,0,False,False,3
60,5f1f02dff0628308ca27f3ba,140.24,142.35,"Mhm, Mhm.",-0.4099999999999966,2.109999999999985,0,False,True,2
61,5eec1b5d66afb73e27bb8c96,141.64,143.46,everything pretty much.,-0.710000000000008,1.8200000000000216,0,False,True,3
62,5f1f02dff0628308ca27f3ba,143.14,146.93,Yeah. Yeah. Um I,-0.3200000000000216,3.7900000000000205,0,False,True,4
63,5eec1b5d66afb73e27bb8c96,146.74,147.0,Have,-0.18999999999999773,0.2599999999999909,0,False,True,1
64,5f1f02dff0628308ca27f3ba,146.93,147.31,mean,-0.06999999999999318,0.37999999999999545,0,False,True,1
65,5eec1b5d66afb73e27bb8c96,147.0,147.41,you been,-0.3100000000000023,0.4099999999999966,0,False,True,2
66,5f1f02dff0628308ca27f3ba,147.32,147.66,do,-0.09000000000000341,0.3400000000000034,0,False,True,1
67,5eec1b5d66afb73e27bb8c96,147.41,149.06,"to? Oh, sorry,",-0.25,1.6500000000000057,1,False,True,3
68,5f1f02dff0628308ca27f3ba,148.64,149.96,so anyway.,-0.4200000000000159,1.3200000000000216,0,False,True,2
69,5eec1b5d66afb73e27bb8c96,149.74,152.05,Have you been to other countries?,-0.21999999999999886,2.3100000000000023,1,True,True,6
70,5f1f02dff0628308ca27f3ba,152.24,161.94,"Yeah. Um I've been to me not many, I've taken like vacations to like Italy or Canada or something but",0.18999999999999773,9.699999999999989,0,False,False,22
71,5eec1b5d66afb73e27bb8c96,161.84,162.56,Mhm.,-0.09999999999999432,0.7199999999999989,0,False,True,1
72,5f1f02dff0628308ca27f3ba,161.95,165.35,"um I haven't spent a lot of time outside the US,",-0.6100000000000136,3.4000000000000057,0,False,True,12
73,5eec1b5d66afb73e27bb8c96,165.64,166.26,Yeah.,0.28999999999999204,0.6200000000000045,0,False,False,1
74,5f1f02dff0628308ca27f3ba,165.74,168.95,I'd like to at some point,-0.5199999999999818,3.2099999999999795,0,False,True,7
75,5eec1b5d66afb73e27bb8c96,168.14,168.95,Mhm.,-0.8100000000000023,0.8100000000000023,0,False,True,1
76,5f1f02dff0628308ca27f3ba,169.34,174.46,um I was interested in like maybe studying abroad some year or something like that,0.3900000000000148,5.1200000000000045,0,False,False,15
77,5eec1b5d66afb73e27bb8c96,174.94,175.86,Mhm.,0.47999999999998977,0.9200000000000159,0,False,False,1
78,5f1f02dff0628308ca27f3ba,175.54,179.75,path should be interesting.,-0.3200000000000216,4.210000000000008,0,False,True,4
79,5eec1b5d66afb73e27bb8c96,178.44,180.24,"Here. Yeah,",-1.3100000000000023,1.8000000000000114,0,False,True,2
80,5f1f02dff0628308ca27f3ba,180.24,180.36,Uh,0.0,0.12000000000000455,0,False,False,1
81,5eec1b5d66afb73e27bb8c96,180.25,180.43,It's,-0.11000000000001364,0.18000000000000682,0,False,True,2
82,5f1f02dff0628308ca27f3ba,180.36,180.74,huh.,-0.06999999999999318,0.37999999999999545,0,False,True,1
83,5eec1b5d66afb73e27bb8c96,180.43,183.25,"nice to learn like other countries, culture stuff.",-0.3100000000000023,2.819999999999993,0,False,True,8
84,5f1f02dff0628308ca27f3ba,183.14,185.19,"Yeah, definitely. What",-0.11000000000001364,2.0500000000000114,0,False,True,3
85,5eec1b5d66afb73e27bb8c96,184.94,185.44,Uh huh.,-0.25,0.5,0,False,True,2
86,5f1f02dff0628308ca27f3ba,185.19,189.86,was like one of the most shocking things to try to get used to when you came here?,-0.25,4.670000000000016,1,True,True,18
87,5eec1b5d66afb73e27bb8c96,191.74,193.92,I would say the weather because,1.8799999999999955,2.1799999999999784,0,False,False,6
88,5f1f02dff0628308ca27f3ba,193.74,194.16,Mhm.,-0.1799999999999784,0.4199999999999875,0,False,True,1
89,5eec1b5d66afb73e27bb8c96,193.92,197.76,it was my first time to experience like really cool like snow.,-0.2400000000000091,3.8400000000000034,0,False,True,12
90,5f1f02dff0628308ca27f3ba,197.34,201.16,Yeah. Yeah. Yeah. I,-0.4199999999999875,3.819999999999993,0,False,True,4
91,5eec1b5d66afb73e27bb8c96,201.04,201.36,Yes.,-0.12000000000000455,0.3200000000000216,0,False,True,1
92,5f1f02dff0628308ca27f3ba,201.16,208.14,loved snow when I was little and now that I've gotten older like and I actually have to shovel it and deal with it and driving,-0.20000000000001705,6.97999999999999,0,False,True,27
93,5eec1b5d66afb73e27bb8c96,207.74,208.36,Uh,-0.39999999999997726,0.6200000000000045,0,False,True,1
94,5f1f02dff0628308ca27f3ba,208.14,211.95,it. I hate it now.,-0.22000000000002728,3.8100000000000023,0,False,True,5
95,5eec1b5d66afb73e27bb8c96,209.74,218.45,"uh huh. Yeah, that's what a lot of people says here and I was like, oh no, I love snow. It's just really cold.",-2.2099999999999795,8.70999999999998,0,False,True,26
96,5f1f02dff0628308ca27f3ba,218.74,221.38,"Yeah, it's very very cold. I'm definitely",0.29000000000002046,2.6399999999999864,0,False,False,9
97,5eec1b5d66afb73e27bb8c96,221.34,221.55,Mm,-0.03999999999999204,0.21000000000000796,0,False,True,1
98,5f1f02dff0628308ca27f3ba,221.38,221.59,more,-0.17000000000001592,0.21000000000000796,0,False,True,1
99,5eec1b5d66afb73e27bb8c96,221.55,221.85,"hmm,",-0.03999999999999204,0.29999999999998295,0,False,True,1
100,5f1f02dff0628308ca27f3ba,221.59,224.76,of a like spring and summer person.,-0.2599999999999909,3.1699999999999875,0,False,True,7
101,5eec1b5d66afb73e27bb8c96,224.64,225.66,mm hmm.,-0.12000000000000455,1.0200000000000102,0,False,True,2
102,5f1f02dff0628308ca27f3ba,226.34,227.65,Uh huh.,0.6800000000000068,1.3100000000000023,0,False,False,2
103,5eec1b5d66afb73e27bb8c96,226.84,229.66,Do you get like heavy snow in new york?,-0.8100000000000023,2.819999999999993,1,True,True,9
104,5f1f02dff0628308ca27f3ba,230.74,237.47,"Um We can it kind of depends on the year, like every once in a while we'll have a year where we really just",1.0800000000000125,6.72999999999999,0,False,False,25
105,5eec1b5d66afb73e27bb8c96,237.24,237.44,Yeah.,-0.22999999999998977,0.19999999999998863,0,False,True,1
106,5f1f02dff0628308ca27f3ba,237.47,251.76,get no snow at all. But we do get like some really big blizzards um where I remember like the roads were completely blocked and like people had to call out of work because just nobody could drive anywhere is crazy.,0.030000000000001137,14.289999999999992,0,False,False,41
107,5eec1b5d66afb73e27bb8c96,250.84,252.85,Yeah. That's crazy,-0.9199999999999875,2.009999999999991,0,False,True,4
108,5f1f02dff0628308ca27f3ba,253.24,254.26,Mhm.,0.3900000000000148,1.0199999999999818,0,False,False,1
109,5eec1b5d66afb73e27bb8c96,253.64,258.96,here in our friends. I don't think we get that much of us now.,-0.6200000000000045,5.319999999999993,0,False,True,15
110,5f1f02dff0628308ca27f3ba,259.44,261.14,Mhm. Yeah.,0.4800000000000182,1.6999999999999886,0,False,False,2
111,5eec1b5d66afb73e27bb8c96,261.54,262.35,Mhm,0.4000000000000341,0.8100000000000023,0,False,False,1
112,5f1f02dff0628308ca27f3ba,261.94,271.16,It's probably nice though once it's like like more than a couple of feet of snow it starts getting very ridiculous.,-0.410000000000025,9.220000000000027,0,False,True,23
113,5eec1b5d66afb73e27bb8c96,270.34,273.84,"Yeah, that's what people said and",-0.82000000000005,3.5,0,False,True,7
114,5f1f02dff0628308ca27f3ba,273.54,274.04,Yeah.,-0.2999999999999545,0.5,0,False,True,1
115,5eec1b5d66afb73e27bb8c96,273.84,276.85,it can be pretty dangerous too.,-0.20000000000004547,3.0100000000000477,0,False,True,6
116,5f1f02dff0628308ca27f3ba,277.34,279.33,"Yeah, definitely. Um There's",0.48999999999995225,1.990000000000009,0,False,False,5
117,5eec1b5d66afb73e27bb8c96,279.14,279.76,Mhm,-0.18999999999999773,0.6200000000000045,0,False,True,1
118,5f1f02dff0628308ca27f3ba,279.33,288.76,been a couple of times where like I'll be driving and I just feel the back of my car starts sliding a little bit and I got to like calm down and slow it down a little bit.,-0.4300000000000068,9.430000000000007,0,False,True,39
119,5eec1b5d66afb73e27bb8c96,288.14,290.96,"Yeah, let's carry.",-0.6200000000000045,2.819999999999993,0,False,True,4
120,5f1f02dff0628308ca27f3ba,290.44,292.66,"Yeah, it was very scary.",-0.5199999999999818,2.2200000000000273,0,False,True,5
121,5eec1b5d66afb73e27bb8c96,293.04,293.46,Mm,0.37999999999999545,0.4199999999999591,0,False,False,1
122,5f1f02dff0628308ca27f3ba,293.34,298.76,"Um Yeah, definitely don't like snow very much",-0.12000000000000455,5.420000000000016,0,False,True,9
123,5eec1b5d66afb73e27bb8c96,297.94,300.96,mm,-0.8199999999999932,3.019999999999982,0,False,True,1
124,5f1f02dff0628308ca27f3ba,299.14,301.16,sure. Um,-1.8199999999999932,2.0200000000000387,0,False,True,2
125,5eec1b5d66afb73e27bb8c96,301.54,302.05,"Well, at",0.37999999999999545,0.5099999999999909,0,False,False,2
126,5f1f02dff0628308ca27f3ba,301.94,302.15,Okay,-0.11000000000001364,0.20999999999997954,0,False,True,1
127,5eec1b5d66afb73e27bb8c96,302.05,305.58,least now it's summer. Is it pretty hot in new york gets pretty,-0.0999999999999659,3.5299999999999727,0,False,True,14
128,5f1f02dff0628308ca27f3ba,305.44,306.28,"yeah,",-0.13999999999998636,0.839999999999975,0,False,True,1
129,5eec1b5d66afb73e27bb8c96,305.58,305.86,bad.,-0.6999999999999886,0.28000000000002956,0,False,True,1
130,5f1f02dff0628308ca27f3ba,306.29,315.01,"it gets very hot, it's like 80 90 degrees usually. Um But mainly like very humid is the biggest",0.4300000000000068,8.71999999999997,0,False,False,20
131,5eec1b5d66afb73e27bb8c96,314.64,315.15,Mhm,-0.37000000000000455,0.5099999999999909,0,False,True,1
132,5f1f02dff0628308ca27f3ba,315.01,317.16,issue. What about there?,-0.13999999999998636,2.150000000000034,1,True,True,4
133,5eec1b5d66afb73e27bb8c96,318.4,319.95,Kind of the same.,1.2399999999999523,1.5500000000000114,0,False,False,4
134,5f1f02dff0628308ca27f3ba,320.14,320.65,Mhm.,0.18999999999999773,0.5099999999999909,0,False,False,1
135,5eec1b5d66afb73e27bb8c96,320.44,321.76,It's pretty hard to.,-0.20999999999997954,1.3199999999999932,0,False,True,5
136,5f1f02dff0628308ca27f3ba,322.44,331.8,"Yeah. Um I feel like I've honestly barely noticed it this summer though because with Covid and everything going on, I've just spent so much time in the house like not",0.6800000000000068,9.360000000000014,0,False,False,33
137,5eec1b5d66afb73e27bb8c96,331.74,332.23,Can,-0.060000000000002274,0.4900000000000091,0,False,True,1
138,5f1f02dff0628308ca27f3ba,331.8,333.03,doing anything.,-0.4300000000000068,1.2299999999999613,0,False,True,2
139,5eec1b5d66afb73e27bb8c96,332.23,332.76,"you get,",-0.7999999999999545,0.5299999999999727,0,False,True,2
140,5f1f02dff0628308ca27f3ba,333.04,334.45,Yeah.,0.28000000000002956,1.4099999999999682,0,False,False,1
141,5eec1b5d66afb73e27bb8c96,333.14,337.06,are you like working at home this time?,-1.3100000000000023,3.920000000000016,1,True,True,8
142,5f1f02dff0628308ca27f3ba,336.44,350.83,"Um I had a job before Covid started and I had to, they like cut me when I when it all happened and I'm still trying to get back and hopefully get the job back and stuff, but",-0.6200000000000045,14.389999999999986,0,False,True,39
143,5eec1b5d66afb73e27bb8c96,350.34,351.06,Mhm.,-0.4900000000000091,0.7200000000000273,0,False,True,1
144,5f1f02dff0628308ca27f3ba,350.84,357.85,"it was just a part time job, something I was doing. Um Law is also in school so it's not too big of a deal. But",-0.22000000000002728,7.010000000000048,0,False,True,27
145,5eec1b5d66afb73e27bb8c96,357.34,358.06,Mhm.,-0.5100000000000477,0.7200000000000273,0,False,True,1
146,5f1f02dff0628308ca27f3ba,358.54,359.76,yeah. What about you?,0.4800000000000182,1.2199999999999704,1,True,False,4
147,5eec1b5d66afb73e27bb8c96,360.84,364.05,Um I'm still working.,1.079999999999984,3.2100000000000364,0,False,False,5
148,5f1f02dff0628308ca27f3ba,364.24,364.96,"Oh, nice.",0.18999999999999773,0.7199999999999704,0,False,False,2
149,5eec1b5d66afb73e27bb8c96,364.64,365.86,"Yeah,",-0.3199999999999932,1.2200000000000273,0,False,True,1
150,5f1f02dff0628308ca27f3ba,364.96,365.76,What do you do?,-0.9000000000000341,0.8000000000000114,1,True,True,4
151,5eec1b5d66afb73e27bb8c96,366.44,368.26,I work at the laundromat.,0.6800000000000068,1.8199999999999932,0,False,False,5
152,5f1f02dff0628308ca27f3ba,368.74,369.25,Mm,0.4800000000000182,0.5099999999999909,0,False,False,1
153,5eec1b5d66afb73e27bb8c96,369.74,370.36,Yeah.,0.4900000000000091,0.6200000000000045,0,False,False,1
154,5f1f02dff0628308ca27f3ba,371.04,371.66,taste?,0.6800000000000068,0.6200000000000045,1,True,False,1
155,5eec1b5d66afb73e27bb8c96,372.34,373.12,Mm and,0.67999999999995,0.7800000000000296,0,False,False,2
156,5f1f02dff0628308ca27f3ba,373.04,373.45,Yeah.,-0.07999999999998408,0.40999999999996817,0,False,True,1
157,5eec1b5d66afb73e27bb8c96,373.12,377.26,it's still working even though there's this stuff going on.,-0.3299999999999841,4.139999999999986,0,False,True,12
158,5f1f02dff0628308ca27f3ba,377.04,381.65,"Mhm. Where they, they labeled you as like a central personnel for it.",-0.21999999999997044,4.609999999999957,0,False,True,13
159,5eec1b5d66afb73e27bb8c96,381.44,384.46,"Yeah, I think it's an essential business.",-0.20999999999997954,3.019999999999982,0,False,True,8
160,5f1f02dff0628308ca27f3ba,384.94,385.56,Mhm.,0.4800000000000182,0.6200000000000045,0,False,False,1
161,5eec1b5d66afb73e27bb8c96,385.44,385.76,"Mhm,",-0.12000000000000455,0.3199999999999932,0,False,True,1
162,5f1f02dff0628308ca27f3ba,385.94,388.17,"Yeah, that happened to my mom",0.18000000000000682,2.230000000000018,0,False,False,6
163,5eec1b5d66afb73e27bb8c96,387.94,388.15,mm,-0.2300000000000182,0.20999999999997954,0,False,True,1
164,5f1f02dff0628308ca27f3ba,388.17,395.75,"too because she works at the hospital. So she got labeled essential and even when everything was in like the worst of it, she still had to go in.",0.020000000000038654,7.579999999999984,0,False,False,29
165,5eec1b5d66afb73e27bb8c96,396.34,397.45,wow.,0.589999999999975,1.1100000000000136,0,False,False,1
166,5f1f02dff0628308ca27f3ba,397.84,398.64,"Yeah,",0.38999999999998636,0.8000000000000114,0,False,False,1
167,5eec1b5d66afb73e27bb8c96,398.04,402.26,Did she have to be like on the political front liners,-0.5999999999999659,4.21999999999997,0,False,True,11
168,5f1f02dff0628308ca27f3ba,402.64,403.37,"no,",0.37999999999999545,0.7300000000000182,0,False,False,1
169,5eec1b5d66afb73e27bb8c96,402.74,403.46,mm,-0.6299999999999955,0.7199999999999704,0,False,True,1
170,5f1f02dff0628308ca27f3ba,403.37,406.48,thankfully she um she works in the lab. She,-0.08999999999997499,3.1100000000000136,0,False,True,9
171,5eec1b5d66afb73e27bb8c96,406.34,406.71,Out,-0.1400000000000432,0.37000000000000455,0,False,True,1
172,5f1f02dff0628308ca27f3ba,406.49,407.26,um,-0.21999999999997044,0.7699999999999818,0,False,True,1
173,5eec1b5d66afb73e27bb8c96,406.71,407.06,there.,-0.5500000000000114,0.35000000000002274,0,False,True,1
174,5f1f02dff0628308ca27f3ba,407.84,416.26,she works in flow saitama tree which is when like if you go to the hospital and they take your blood and send it to get labs worked. She is,0.7799999999999727,8.420000000000016,0,False,False,30
