turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ea7013f3fe3360abb654e38,72.44,83.46,Oh yeah.,,11.019999999999996,0,False,False,2
1,5b11682bd3ef5a000107dc58,83.64,83.85,"Okay,",0.18000000000000682,0.20999999999999375,0,False,False,1
2,5ea7013f3fe3360abb654e38,84.24,87.86,Mhm. Mhm. Hi.,0.39000000000000057,3.6200000000000045,0,False,False,3
3,5b11682bd3ef5a000107dc58,88.44,90.26,can,0.5799999999999983,1.8200000000000074,0,False,False,1
4,5ea7013f3fe3360abb654e38,89.54,91.49,I,-0.7199999999999989,1.9499999999999886,0,False,True,1
5,5b11682bd3ef5a000107dc58,90.26,90.75,you hear me?,-1.2299999999999898,0.4899999999999949,1,True,True,3
6,5ea7013f3fe3360abb654e38,91.5,93.65,can't. Yes. You hear me,0.75,2.1500000000000057,0,False,False,6
7,5b11682bd3ef5a000107dc58,94.04,97.23,"Perfect, I can I mean",0.39000000000000057,3.1899999999999977,0,False,False,5
8,5ea7013f3fe3360abb654e38,97.04,97.25,well,-0.18999999999999773,0.20999999999999375,0,False,True,1
9,5b11682bd3ef5a000107dc58,97.23,97.49,no,-0.01999999999999602,0.2599999999999909,0,False,True,1
10,5ea7013f3fe3360abb654e38,97.25,97.53,very,-0.23999999999999488,0.28000000000000114,0,False,True,1
11,5b11682bd3ef5a000107dc58,97.49,97.56,I,-0.04000000000000625,0.07000000000000739,0,False,True,1
12,5ea7013f3fe3360abb654e38,97.53,98.15,much.,-0.030000000000001137,0.6200000000000045,0,False,True,1
13,5b11682bd3ef5a000107dc58,97.56,98.45,cannot.,-0.5900000000000034,0.8900000000000006,0,False,True,2
14,5ea7013f3fe3360abb654e38,98.94,100.32,I,0.4899999999999949,1.3799999999999955,0,False,False,1
15,5b11682bd3ef5a000107dc58,99.24,101.06,Oh,-1.0799999999999983,1.8200000000000074,0,False,True,1
16,5ea7013f3fe3360abb654e38,100.33,102.01,know that she's just answering questions,-0.730000000000004,1.6800000000000068,0,False,True,7
17,5b11682bd3ef5a000107dc58,101.84,102.25,yeah,-0.1700000000000017,0.4099999999999966,0,False,True,1
18,5ea7013f3fe3360abb654e38,102.01,102.96,now.,-0.23999999999999488,0.9499999999999886,0,False,True,1
19,5b11682bd3ef5a000107dc58,102.84,112.06,"but oh that's too funny. I actually am really surprised that a human being actually was on the other side of this, this chat session because",-0.11999999999999034,9.219999999999999,0,False,True,27
20,5ea7013f3fe3360abb654e38,111.94,112.35,Yeah.,-0.12000000000000455,0.4099999999999966,0,False,True,1
21,5b11682bd3ef5a000107dc58,112.07,113.96,yesterday nobody showed up,-0.28000000000000114,1.8900000000000006,0,False,True,4
22,5ea7013f3fe3360abb654e38,114.34,114.62,Oh,0.38000000000000966,0.28000000000000114,0,False,False,1
23,5b11682bd3ef5a000107dc58,114.54,114.72,and,-0.0799999999999983,0.1799999999999926,0,False,True,1
24,5ea7013f3fe3360abb654e38,114.62,115.86,"no,",-0.09999999999999432,1.2399999999999949,0,False,True,1
25,5b11682bd3ef5a000107dc58,114.72,122.01,I was like I was going to be like one of those studies where there you know like some psychological thing getting stood up two days in a row or I don't,-1.1400000000000006,7.290000000000006,0,False,True,33
26,5ea7013f3fe3360abb654e38,121.84,122.2,see,-0.1700000000000017,0.35999999999999943,0,False,True,1
27,5b11682bd3ef5a000107dc58,122.01,122.71,"know,",-0.18999999999999773,0.6999999999999886,0,False,True,1
28,5ea7013f3fe3360abb654e38,122.2,122.74,how long they,-0.5099999999999909,0.539999999999992,0,False,True,3
29,5b11682bd3ef5a000107dc58,122.72,122.75,I,-0.01999999999999602,0.030000000000001137,0,False,True,1
30,5ea7013f3fe3360abb654e38,122.74,123.03,keep,-0.010000000000005116,0.29000000000000625,0,False,True,1
31,5b11682bd3ef5a000107dc58,122.76,123.14,promise,-0.269999999999996,0.37999999999999545,0,False,True,1
32,5ea7013f3fe3360abb654e38,123.03,124.2,trying.,-0.10999999999999943,1.1700000000000017,0,False,True,1
33,5b11682bd3ef5a000107dc58,123.14,124.16,I'm glad to single.,-1.0600000000000023,1.019999999999996,0,False,True,5
34,5ea7013f3fe3360abb654e38,124.21,128.86,"I know, I'm like is it gonna be a real person like Yeah, I was like",0.04999999999999716,4.65000000000002,0,False,False,18
35,5b11682bd3ef5a000107dc58,128.34,129.56,Right. Exactly.,-0.5200000000000102,1.2199999999999989,0,False,True,2
36,5ea7013f3fe3360abb654e38,128.87,142.46,"like like the weird part to you, like I don't even know like who expect like if you're meeting someone like like they were talking about a social event, at least you could like see the person as they were walking towards you and no, okay, I have an idea of what's like expect and I'm like",-0.6899999999999977,13.590000000000003,0,False,True,61
37,5b11682bd3ef5a000107dc58,142.14,143.06,Right.,-0.3200000000000216,0.9200000000000159,0,False,True,1
38,5ea7013f3fe3360abb654e38,142.54,146.46,"I don't know who is going to be there, is it gonna be like super creepy? I don't know.",-0.5200000000000102,3.920000000000016,1,False,True,22
39,5b11682bd3ef5a000107dc58,146.44,147.43,"Right,",-0.020000000000010232,0.9900000000000091,0,False,True,1
40,5ea7013f3fe3360abb654e38,147.04,147.59,All,-0.3900000000000148,0.5500000000000114,0,False,True,1
41,5b11682bd3ef5a000107dc58,147.44,147.68,well,-0.15000000000000568,0.2400000000000091,0,False,True,1
42,5ea7013f3fe3360abb654e38,147.59,148.56,right.,-0.09000000000000341,0.9699999999999989,0,False,True,1
