turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5c4af67cdccaa800016b3192,5.94,541.26,"Mhm. Yeah. Yeah. Okay. Uh huh. Yeah. Yeah. Yeah. Mhm. Mhm. Mhm, mm. I'm not going. All right. This is expected. Okay. Yeah. Yeah. Yeah. Thank you. Yeah. The federal standards. Yeah. Uh huh. Okay. Yeah. Yeah. Yeah. Yeah. I'm not going, yeah. Yeah. Okay. Goodbye. Yeah. Mhm. Yeah. Yeah. Uh huh. I understand. Mhm, mm hmm. Yeah. Okay. Mhm. Yeah. What you want to what's that like the last time? Okay. Yeah. What? Yeah. Yeah. Okay. Thank you. Yeah. Of the with his life, Yeah. Yeah. Mhm. Yeah. Good idea. Yeah. She is. Yeah. Yeah. Yeah. Oh, yeah. Yeah. Yeah. Mm, mm hmm. Yeah. Yeah. Okay. Yeah. Mhm. Mhm. Yeah. Yeah. Mhm. Okay. All right. I'm not going anywhere. Yeah. Mhm.",,535.3199999999999,2,False,False,126
1,5a73899f9cdd1800017786f0,552.94,554.65,Yeah. Uh huh.,11.680000000000064,1.7099999999999227,0,False,False,3
2,5c4af67cdccaa800016b3192,554.34,555.45,Hey?,-0.30999999999994543,1.1100000000000136,1,True,True,1
3,5a73899f9cdd1800017786f0,555.84,556.18,"Hey, how's",0.38999999999998636,0.33999999999991815,0,False,False,3
4,5c4af67cdccaa800016b3192,556.04,557.46,Good.,-0.13999999999998636,1.4200000000000728,0,False,True,1
5,5a73899f9cdd1800017786f0,556.18,556.76,it going?,-1.2800000000000864,0.5800000000000409,1,True,True,2
6,5c4af67cdccaa800016b3192,557.46,558.35,How are you?,0.7000000000000455,0.8899999999999864,1,True,False,3
7,5a73899f9cdd1800017786f0,558.64,559.56,Not too bad.,0.2899999999999636,0.9199999999999591,0,False,False,3
8,5c4af67cdccaa800016b3192,559.24,561.86,Yeah. Are you in Wisconsin?,-0.31999999999993634,2.6200000000000045,1,True,True,5
9,5a73899f9cdd1800017786f0,562.14,563.66,Yeah. Sure.,0.2799999999999727,1.5199999999999818,0,False,False,2
