turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e2622adde8f270961b5fde0,5.38,201.15,"Yeah mm. Mhm. I can't. Yeah. Yeah. Mhm. Yeah. Yeah. Come on. Oh yeah. Yeah. Okay. Mhm. Right. What Palestinians were becoming more stark still. She peacemaking her job? She started working for the U. N. Organizing dialogue groups reaching out to Israeli jews or the most skeptical these cultural right wing religious groups. Both sides seem to be moving away from the ideals of compromise. She was raised to believe it. I found myself often very alone with the narrative that doesn't really resonate or doesn't apply to a lot of people. And then before she was supposed to give a speech to peace conference about her work like you and canceled the program, she lost her job and that's what difference. Instead of going up and being the analytical U. N. Peace building on, I started telling jokes. It was probably the best thing that I've done so much more successful. Making fun of the divide. Trying to really she got gigs all over the U. S. And a fellowship at Harvard to write her one woman show. Coexistence my ass. But she says it's about your existence. About her ass. And I don't need to be careful them. I can make fun of the juice. And then my next joke would be making fun of Palestinians. I am now not making an order confusion, making jokes in the Middle East. You never know who you're gonna move in. All the audience is known faced as a peace mr as a comedian. The crowd in the lobby of Hotel Corona. It seemed like the most. Okay. Yeah. Yeah. Yeah. Mhm.",,195.77,1,False,False,281
1,5e6db3f02649e03834220ef0,207.95,211.46,"Hey, can you hear me?",6.799999999999983,3.5100000000000193,1,True,False,5
2,5e2622adde8f270961b5fde0,211.74,212.76,Hello? Yes,0.28000000000000114,1.0199999999999818,1,False,False,2
3,5e6db3f02649e03834220ef0,212.54,214.36,How you doing today?,-0.21999999999999886,1.8200000000000216,1,True,True,4
4,5e2622adde8f270961b5fde0,214.54,215.95,I'm good. How are you?,0.1799999999999784,1.4099999999999966,1,True,False,6
5,5e6db3f02649e03834220ef0,215.74,224.16,I'm doing well so yeah I don't know much about like the topics or anything so just tell me a little bit about yourself.,-0.20999999999997954,8.419999999999987,0,False,True,26
6,5e2622adde8f270961b5fde0,224.24,224.73,Yeah.,0.0800000000000125,0.4899999999999807,0,False,False,1
7,5e6db3f02649e03834220ef0,224.64,225.01,Think,-0.09000000000000341,0.37000000000000455,0,False,True,1
8,5e2622adde8f270961b5fde0,224.73,225.38,I think we just,-0.28000000000000114,0.6500000000000057,0,False,True,4
9,5e6db3f02649e03834220ef0,225.18,225.68,of the nervous,-0.19999999999998863,0.5,0,False,True,3
10,5e2622adde8f270961b5fde0,225.39,225.69,kind of,-0.29000000000002046,0.30000000000001137,0,False,True,2
11,5e6db3f02649e03834220ef0,225.68,226.16,system.,-0.009999999999990905,0.47999999999998977,0,False,True,1
12,5e2622adde8f270961b5fde0,225.69,229.97,randomly just talking chat.,-0.46999999999999886,4.280000000000001,0,False,True,4
13,5e6db3f02649e03834220ef0,229.14,230.24,Yeah,-0.8300000000000125,1.1000000000000227,0,False,True,1
14,5e2622adde8f270961b5fde0,229.98,235.4,Let's see. I am located in D. C. In the U.,-0.2600000000000193,5.420000000000016,0,False,True,12
15,5e6db3f02649e03834220ef0,235.34,235.53,and,-0.060000000000002274,0.18999999999999773,0,False,True,1
16,5e2622adde8f270961b5fde0,235.4,236.06,S.,-0.12999999999999545,0.6599999999999966,0,False,True,1
17,5e6db3f02649e03834220ef0,235.53,239.26,then,-0.5300000000000011,3.7299999999999898,0,False,True,1
18,5e2622adde8f270961b5fde0,236.54,239.99,"Um I'm not sure if you're like in the US too,",-2.719999999999999,3.450000000000017,0,False,True,13
19,5e6db3f02649e03834220ef0,239.84,241.15,yeah,-0.15000000000000568,1.3100000000000023,0,False,True,1
20,5e2622adde8f270961b5fde0,239.99,241.45,but I don't assume,-1.1599999999999966,1.4599999999999795,0,False,True,5
21,5e6db3f02649e03834220ef0,241.74,243.61,"yeah I'm in the virgin, I'm in Virginia as well, I'm",0.29000000000002046,1.8700000000000045,0,False,False,14
22,5e2622adde8f270961b5fde0,243.54,243.73,I,-0.0700000000000216,0.18999999999999773,0,False,True,1
23,5e6db3f02649e03834220ef0,243.61,245.15,in Blacksburg.,-0.11999999999997613,1.539999999999992,0,False,True,2
24,5e2622adde8f270961b5fde0,243.73,249.77,am Virginia. Okay Blacksburg. Yeah. So I guess more like Maryland I would say dc to people because,-1.420000000000016,6.0400000000000205,0,False,True,18
25,5e6db3f02649e03834220ef0,249.74,250.25,Mhm.,-0.030000000000001137,0.5099999999999909,0,False,True,1
26,5e2622adde8f270961b5fde0,249.77,251.46,it's just easier.,-0.47999999999998977,1.6899999999999977,0,False,True,4
27,5e6db3f02649e03834220ef0,250.94,251.65,Yeah.,-0.5200000000000102,0.710000000000008,0,False,True,1
28,5e2622adde8f270961b5fde0,252.14,265.76,"Uh Yeah but this is the first video study I've ever I have ever tried and then um adopted from china. That's usually a big singer,",0.4899999999999807,13.620000000000005,0,False,False,28
29,5e6db3f02649e03834220ef0,264.44,266.55,Right. Mhm,-1.3199999999999932,2.1100000000000136,0,False,True,2
30,5e2622adde8f270961b5fde0,266.24,271.06,not from china. Two older brothers who are biological sons.,-0.3100000000000023,4.819999999999993,0,False,True,10
31,5e6db3f02649e03834220ef0,271.14,272.06,mm.,0.07999999999998408,0.9200000000000159,0,False,False,1
32,5e2622adde8f270961b5fde0,271.64,275.69,I was supposed to be working in new york. However that changed a,-0.4200000000000159,4.050000000000011,0,False,True,13
33,5e6db3f02649e03834220ef0,275.64,276.35,Yeah,-0.05000000000001137,0.7100000000000364,0,False,True,1
34,5e2622adde8f270961b5fde0,275.69,282.22,"little bit. And now I'm here, are you a student? Are you graduated",-0.660000000000025,6.53000000000003,1,False,True,14
35,5e6db3f02649e03834220ef0,281.54,282.54,I'm a student.,-0.6800000000000068,1.0,0,False,True,4
36,5e2622adde8f270961b5fde0,282.29,283.04,your,-0.25,0.75,0,False,True,1
37,5e6db3f02649e03834220ef0,282.55,283.15,I'm a student,-0.4900000000000091,0.5999999999999659,0,False,True,4
38,5e2622adde8f270961b5fde0,283.04,283.45,students?,-0.1099999999999568,0.40999999999996817,1,True,True,1
39,5e6db3f02649e03834220ef0,283.15,289.66,right now at taken. I was I was supposed to go down to north Carolina for internship but that went online instead.,-0.30000000000001137,6.510000000000048,0,False,True,22
