turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5b97f8988ae8150001c7a887,9.74,91.95,Okay. Yeah. All right. Mhm. Uh huh. Who? Yeah. Okay. But Okay. Yeah. Okay. So Mhm. Yeah. Yeah. Oh yeah.,,82.21000000000001,1,False,False,20
1,5d3356323e1190001909339b,92.34,92.96,Hello.,0.39000000000000057,0.6199999999999903,0,False,False,1
2,5b97f8988ae8150001c7a887,93.24,93.96,Doll,0.28000000000000114,0.7199999999999989,0,False,False,1
3,5d3356323e1190001909339b,94.64,95.15,Okay,0.6800000000000068,0.5100000000000051,0,False,False,1
4,5b97f8988ae8150001c7a887,95.54,96.16,Hi.,0.39000000000000057,0.6199999999999903,0,False,False,1
5,5d3356323e1190001909339b,96.84,98.38,I can see you. I don't know where.,0.6800000000000068,1.539999999999992,0,False,False,9
6,5b97f8988ae8150001c7a887,98.34,98.54,Yeah.,-0.03999999999999204,0.20000000000000284,0,False,True,1
7,5d3356323e1190001909339b,98.39,100.65,Oh I know I think,-0.15000000000000568,2.260000000000005,0,False,True,5
8,5b97f8988ae8150001c7a887,100.24,100.44,Yeah.,-0.4100000000000108,0.20000000000000284,0,False,True,1
9,5d3356323e1190001909339b,101.44,105.25,I have tape on my everything.,1.0,3.8100000000000023,0,False,False,6
10,5b97f8988ae8150001c7a887,104.92,106.31,It'll be kind of artist you tape,-0.3299999999999983,1.3900000000000006,0,False,True,8
11,5d3356323e1190001909339b,106.14,106.34,Yeah,-0.1700000000000017,0.20000000000000284,0,False,True,1
12,5b97f8988ae8150001c7a887,106.31,107.85,over the camera. Okay.,-0.030000000000001137,1.539999999999992,0,False,True,4
13,5d3356323e1190001909339b,108.54,116.06,I think I got to turn it up a little bit. Yeah. So how are you doing today?,0.6900000000000119,7.519999999999996,1,True,False,18
14,5b97f8988ae8150001c7a887,116.24,117.26,I'm doing okay.,0.1799999999999926,1.0200000000000102,0,False,False,4
15,5d3356323e1190001909339b,117.44,117.73,Are,0.1799999999999926,0.29000000000000625,0,False,False,1
16,5b97f8988ae8150001c7a887,117.64,118.02,Trying,-0.09000000000000341,0.37999999999999545,0,False,True,1
17,5d3356323e1190001909339b,117.73,118.06,you,-0.28999999999999204,0.3299999999999983,0,False,True,1
18,5b97f8988ae8150001c7a887,118.02,118.26,to,-0.04000000000000625,0.2400000000000091,0,False,True,1
19,5d3356323e1190001909339b,119.54,120.61,your family,1.2800000000000011,1.0699999999999932,0,False,False,2
20,5b97f8988ae8150001c7a887,120.24,120.45,what?,-0.37000000000000455,0.21000000000000796,1,True,True,1
21,5d3356323e1190001909339b,120.61,121.76,and friends free from,0.1599999999999966,1.1500000000000057,0,False,False,4
22,5b97f8988ae8150001c7a887,121.54,121.74,Yeah.,-0.21999999999999886,0.19999999999998863,0,False,True,1
23,5d3356323e1190001909339b,121.76,122.66,the virus?,0.020000000000010232,0.8999999999999915,1,True,False,2
24,5b97f8988ae8150001c7a887,122.74,127.96,Yeah. Yeah. I think my friends and family are free from the virus. Um,0.0799999999999983,5.219999999999999,0,False,False,14
25,5d3356323e1190001909339b,127.44,127.85,Yeah,-0.519999999999996,0.4099999999999966,0,False,True,1
26,5b97f8988ae8150001c7a887,129.24,129.78,They,1.3900000000000148,0.539999999999992,0,False,False,1
27,5d3356323e1190001909339b,129.74,129.95,it.,-0.03999999999999204,0.20999999999997954,0,False,True,1
28,5b97f8988ae8150001c7a887,129.78,130.64,just we've,-0.1699999999999875,0.8599999999999852,0,False,True,3
29,5d3356323e1190001909339b,130.54,130.75,Mhm.,-0.09999999999999432,0.21000000000000796,0,False,True,1
30,5b97f8988ae8150001c7a887,130.64,132.53,been trying to stay home,-0.11000000000001364,1.8900000000000148,0,False,True,5
31,5d3356323e1190001909339b,132.34,132.54,Yeah.,-0.18999999999999773,0.19999999999998863,0,False,True,1
32,5b97f8988ae8150001c7a887,132.54,141.06,since I live by myself. So I haven't actually seen my friends um I've only seen them through like virtual like chatting and,0.0,8.52000000000001,0,False,False,25
33,5d3356323e1190001909339b,141.04,141.66,Soon.,-0.020000000000010232,0.6200000000000045,0,False,True,1
34,5b97f8988ae8150001c7a887,141.06,141.86,on the phone.,-0.5999999999999943,0.8000000000000114,0,False,True,3
35,5d3356323e1190001909339b,142.24,142.75,Yeah,0.37999999999999545,0.5099999999999909,0,False,False,1
36,5b97f8988ae8150001c7a887,142.64,142.84,Yeah.,-0.11000000000001364,0.20000000000001705,0,False,True,1
37,5d3356323e1190001909339b,142.76,143.63,that's about what,-0.0800000000000125,0.8700000000000045,0,False,True,4
38,5b97f8988ae8150001c7a887,143.54,143.78,Yeah.,-0.09000000000000341,0.2400000000000091,0,False,True,1
39,5d3356323e1190001909339b,143.63,144.68,I do as well.,-0.15000000000000568,1.0500000000000114,0,False,True,4
40,5b97f8988ae8150001c7a887,144.34,144.55,Mhm.,-0.3400000000000034,0.21000000000000796,0,False,True,1
41,5d3356323e1190001909339b,144.68,145.15,You can't,0.12999999999999545,0.46999999999999886,0,False,False,3
42,5b97f8988ae8150001c7a887,145.14,145.46,Okay.,-0.010000000000019327,0.3200000000000216,0,False,True,1
43,5d3356323e1190001909339b,146.04,148.26,kid. Um We had,0.5799999999999841,2.219999999999999,0,False,False,4
44,5b97f8988ae8150001c7a887,147.84,148.05,Mhm.,-0.4199999999999875,0.21000000000000796,0,False,True,1
45,5d3356323e1190001909339b,148.27,149.03,last week,0.21999999999999886,0.7599999999999909,0,False,False,2
46,5b97f8988ae8150001c7a887,148.94,149.26,Mhm.,-0.09000000000000341,0.3199999999999932,0,False,True,1
47,5d3356323e1190001909339b,149.04,149.66,by,-0.21999999999999886,0.6200000000000045,0,False,True,1
48,5b97f8988ae8150001c7a887,149.64,149.85,Mhm.,-0.020000000000010232,0.21000000000000796,0,False,True,1
49,5d3356323e1190001909339b,150.24,151.12,my granddaughter,0.3900000000000148,0.8799999999999955,0,False,False,2
50,5b97f8988ae8150001c7a887,150.94,151.14,Yeah.,-0.18000000000000682,0.19999999999998863,0,False,True,1
51,5d3356323e1190001909339b,151.12,153.76,was here and a lady,-0.01999999999998181,2.6399999999999864,0,False,True,5
52,5b97f8988ae8150001c7a887,153.64,153.84,Yeah.,-0.12000000000000455,0.20000000000001705,0,False,True,1
53,5d3356323e1190001909339b,153.76,154.37,had came,-0.0800000000000125,0.6100000000000136,0,False,True,2
54,5b97f8988ae8150001c7a887,154.34,154.54,Yeah.,-0.030000000000001137,0.19999999999998863,0,False,True,1
55,5d3356323e1190001909339b,154.37,154.96,over,-0.1699999999999875,0.5900000000000034,0,False,True,1
56,5b97f8988ae8150001c7a887,155.34,155.54,Yeah.,0.37999999999999545,0.19999999999998863,0,False,False,1
57,5d3356323e1190001909339b,155.54,156.09,from one of,0.0,0.5500000000000114,0,False,False,3
58,5b97f8988ae8150001c7a887,156.04,156.25,Mhm.,-0.05000000000001137,0.21000000000000796,0,False,True,1
59,5d3356323e1190001909339b,156.09,157.68,the agencies to talk,-0.1599999999999966,1.5900000000000034,0,False,True,4
60,5b97f8988ae8150001c7a887,157.34,157.75,Yeah.,-0.3400000000000034,0.4099999999999966,0,False,True,1
61,5d3356323e1190001909339b,157.68,159.03,to her and the next,-0.06999999999999318,1.3499999999999943,0,False,True,5
62,5b97f8988ae8150001c7a887,158.64,158.85,Okay.,-0.3900000000000148,0.21000000000000796,0,False,True,1
63,5d3356323e1190001909339b,159.03,160.45,day she was,0.18000000000000682,1.4199999999999875,0,False,False,3
64,5b97f8988ae8150001c7a887,160.34,160.75,Yeah.,-0.10999999999998522,0.4099999999999966,0,False,True,1
65,5d3356323e1190001909339b,160.45,162.05,positive for Covid.,-0.30000000000001137,1.6000000000000227,0,False,True,3
66,5b97f8988ae8150001c7a887,161.94,162.15,Mhm.,-0.11000000000001364,0.21000000000000796,0,False,True,1
67,5d3356323e1190001909339b,162.94,163.64,And so,0.789999999999992,0.6999999999999886,0,False,False,2
68,5b97f8988ae8150001c7a887,163.46,163.74,Yeah.,-0.1799999999999784,0.28000000000000114,0,False,True,1
69,5d3356323e1190001909339b,163.64,165.18,we're not sure because she was here,-0.10000000000002274,1.5400000000000205,0,False,True,8
70,5b97f8988ae8150001c7a887,165.14,165.35,Mhm.,-0.040000000000020464,0.21000000000000796,0,False,True,1
71,5d3356323e1190001909339b,165.18,166.37,for a couple hours,-0.1699999999999875,1.1899999999999977,0,False,True,4
72,5b97f8988ae8150001c7a887,165.84,166.76,Yeah.,-0.5300000000000011,0.9199999999999875,0,False,True,1
73,5d3356323e1190001909339b,166.38,167.23,and we don't know if,-0.37999999999999545,0.8499999999999943,0,False,True,6
