turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5d633f7d4b3d9000011fc60a,25.74,118.14,"Okay. Yeah. Right. Yeah. Mhm. Okay. Yeah. Uh huh. Yeah. Oh yeah. Yeah. Mm. Yeah. Uh huh. Mhm. Okay. Oh okay. Okay. Yeah,",,92.4,0,False,False,23
1,5f1221640ad01c141571dc50,120.34,123.54,"Hi. Sorry,",2.200000000000003,3.200000000000003,0,False,False,2
2,5d633f7d4b3d9000011fc60a,122.64,127.05,"I mean, no.",-0.9000000000000057,4.409999999999997,0,False,True,3
3,5f1221640ad01c141571dc50,125.14,127.56,"wow, okay.",-1.9099999999999966,2.4200000000000017,0,False,True,2
4,5d633f7d4b3d9000011fc60a,127.54,129.96,Yeah I'm good. I'm good.,-0.01999999999999602,2.4200000000000017,0,False,True,7
5,5f1221640ad01c141571dc50,129.74,130.54,"Yeah,",-0.21999999999999886,0.799999999999983,0,False,True,1
6,5d633f7d4b3d9000011fc60a,130.34,131.21,Right. All you're,-0.19999999999998863,0.8700000000000045,0,False,True,4
7,5f1221640ad01c141571dc50,131.14,131.46,wow.,-0.0700000000000216,0.3200000000000216,0,False,True,1
8,5d633f7d4b3d9000011fc60a,131.21,135.01,"doing, you're doing okay. I've been in og",-0.25,3.799999999999983,0,False,True,10
9,5f1221640ad01c141571dc50,133.64,134.86,Oh good.,-1.3700000000000045,1.2200000000000273,0,False,True,2
10,5d633f7d4b3d9000011fc60a,135.02,135.75,sunday,0.1599999999999966,0.7299999999999898,0,False,False,1
11,5f1221640ad01c141571dc50,135.44,135.94,Yeah.,-0.3100000000000023,0.5,0,False,True,1
12,5d633f7d4b3d9000011fc60a,136.24,137.11,that I got,0.30000000000001137,0.8700000000000045,0,False,False,3
13,5f1221640ad01c141571dc50,136.84,137.46,Yeah,-0.27000000000001023,0.6200000000000045,0,False,True,1
14,5d633f7d4b3d9000011fc60a,137.12,140.05,in. Yeah.,-0.3400000000000034,2.930000000000007,0,False,True,2
15,5f1221640ad01c141571dc50,139.64,140.06,important.,-0.410000000000025,0.4200000000000159,0,False,True,1
16,5d633f7d4b3d9000011fc60a,141.64,142.36,Okay.,1.579999999999984,0.7200000000000273,0,False,False,1
17,5f1221640ad01c141571dc50,141.74,142.76,"I'm sorry, I can't hear you.",-0.6200000000000045,1.0199999999999818,0,False,True,8
18,5d633f7d4b3d9000011fc60a,143.34,146.74,"Yeah, it's cool. Let me kind of move closer so probably can",0.5800000000000125,3.4000000000000057,0,False,False,13
19,5f1221640ad01c141571dc50,146.64,147.05,"Yeah,",-0.10000000000002274,0.410000000000025,0,False,True,1
20,5d633f7d4b3d9000011fc60a,146.74,149.65,you hear me? Uh,-0.3100000000000023,2.9099999999999966,1,False,True,4
21,5f1221640ad01c141571dc50,148.44,150.75,I'm just gonna thank you.,-1.210000000000008,2.3100000000000023,0,False,True,7
22,5d633f7d4b3d9000011fc60a,151.14,151.95,What do you say?,0.38999999999998636,0.8100000000000023,1,True,False,4
23,5f1221640ad01c141571dc50,151.94,155.65,"Mhm. I said, I'm just gonna turn on the volume.",-0.009999999999990905,3.710000000000008,0,False,True,12
