turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ed442ea258f2e4098c6b153,3.94,6.54,Yeah.,,2.6,0,False,False,1
1,5eb1e9b96c1f4713ed5d0a1e,36.74,37.25,Hello.,30.200000000000003,0.509999999999998,0,False,False,1
2,5ed442ea258f2e4098c6b153,37.54,38.16,Hi.,0.28999999999999915,0.6199999999999974,0,False,False,1
3,5eb1e9b96c1f4713ed5d0a1e,38.34,39.75,How are you doing?,0.18000000000000682,1.4099999999999966,1,True,False,4
4,5ed442ea258f2e4098c6b153,40.14,41.76,"Good, how are you doing today?",0.39000000000000057,1.6199999999999974,1,True,False,6
5,5eb1e9b96c1f4713ed5d0a1e,42.14,46.25,Good. Glad we're both here and we both set up.,0.38000000000000256,4.109999999999999,0,False,False,11
6,5ed442ea258f2e4098c6b153,46.44,49.86,"Right, we can actually get, you know, paid the full amount.",0.18999999999999773,3.4200000000000017,0,False,False,11
7,5eb1e9b96c1f4713ed5d0a1e,49.74,50.55,Yes.,-0.11999999999999744,0.8099999999999952,0,False,True,1
8,5ed442ea258f2e4098c6b153,50.24,52.89,I,-0.30999999999999517,2.6499999999999986,0,False,True,1
9,5eb1e9b96c1f4713ed5d0a1e,50.56,51.96,You have you done looking for?,-2.3299999999999983,1.3999999999999986,1,True,True,6
10,5ed442ea258f2e4098c6b153,52.9,54.64,this is now my third time. Yeah.,0.9399999999999977,1.740000000000002,0,False,False,7
11,5eb1e9b96c1f4713ed5d0a1e,54.34,57.06,"Okay. This is my first time. So I wasn't, I",-0.29999999999999716,2.719999999999999,0,False,True,11
12,5ed442ea258f2e4098c6b153,57.04,57.28,This,-0.020000000000003126,0.240000000000002,0,False,True,1
13,5eb1e9b96c1f4713ed5d0a1e,57.06,57.35,didn't know,-0.21999999999999886,0.28999999999999915,0,False,True,3
14,5ed442ea258f2e4098c6b153,57.28,57.37,is,-0.07000000000000028,0.0899999999999963,0,False,True,1
15,5eb1e9b96c1f4713ed5d0a1e,57.35,57.47,what,-0.01999999999999602,0.11999999999999744,0,False,True,1
16,5ed442ea258f2e4098c6b153,57.37,57.51,my,-0.10000000000000142,0.14000000000000057,0,False,True,1
17,5eb1e9b96c1f4713ed5d0a1e,57.47,57.54,to,-0.03999999999999915,0.07000000000000028,0,False,True,1
18,5ed442ea258f2e4098c6b153,57.51,58.24,third,-0.030000000000001137,0.730000000000004,0,False,True,1
19,5eb1e9b96c1f4713ed5d0a1e,57.54,57.96,expect.,-0.7000000000000028,0.4200000000000017,0,False,True,1
20,5ed442ea258f2e4098c6b153,58.25,61.31,successful time. I've,0.28999999999999915,3.0600000000000023,0,False,False,4
21,5eb1e9b96c1f4713ed5d0a1e,59.84,61.4,"Oh, how many mothers,",-1.4699999999999989,1.5599999999999952,0,False,True,4
22,5ed442ea258f2e4098c6b153,61.31,61.74,tried,-0.0899999999999963,0.4299999999999997,0,False,True,1
23,5eb1e9b96c1f4713ed5d0a1e,61.4,61.81,wives did,-0.3400000000000034,0.4100000000000037,0,False,True,2
24,5ed442ea258f2e4098c6b153,61.74,61.86,to,-0.07000000000000028,0.11999999999999744,0,False,True,1
25,5eb1e9b96c1f4713ed5d0a1e,61.81,61.93,you,-0.04999999999999716,0.11999999999999744,0,False,True,1
26,5ed442ea258f2e4098c6b153,61.86,62.04,do,-0.07000000000000028,0.17999999999999972,0,False,True,1
