turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5c9527e29e4f7400011e1571,21.14,119.45,"Yeah. Yeah. Yeah. Yes. What? Mhm. Okay. Yeah, do you have any? Yeah. Sweet, mm hmm. Yeah. Mhm. Uh huh.",,98.31,2,False,False,20
1,5dde8fba82f458000c8c7c75,119.64,120.15,No.,0.18999999999999773,0.5100000000000051,0,False,False,1
2,5c9527e29e4f7400011e1571,120.14,124.16,"Hello, Can",-0.010000000000005116,4.019999999999996,0,False,True,2
3,5dde8fba82f458000c8c7c75,122.64,124.16,Hold on one second.,-1.519999999999996,1.519999999999996,0,False,True,4
4,5c9527e29e4f7400011e1571,124.16,125.26,you hear me? Because I can't,0.0,1.1000000000000085,1,False,False,7
5,5dde8fba82f458000c8c7c75,125.24,125.44,Yeah.,-0.020000000000010232,0.20000000000000284,0,False,True,1
6,5c9527e29e4f7400011e1571,125.26,126.35,hear you,-0.1799999999999926,1.0899999999999892,0,False,True,2
7,5dde8fba82f458000c8c7c75,126.54,127.21,How can you not?,0.19000000000001194,0.6699999999999875,1,True,False,4
8,5c9527e29e4f7400011e1571,127.04,127.61,"ups,",-0.1699999999999875,0.5699999999999932,0,False,True,1
9,5dde8fba82f458000c8c7c75,127.22,127.65,Hold on.,-0.39000000000000057,0.4300000000000068,0,False,True,2
10,5c9527e29e4f7400011e1571,127.61,129.01,hang on I got it. I think,-0.04000000000000625,1.3999999999999915,0,False,True,7
11,5dde8fba82f458000c8c7c75,128.84,129.13,You got,-0.1699999999999875,0.28999999999999204,0,False,True,2
12,5c9527e29e4f7400011e1571,129.01,129.36,I fixed,-0.12000000000000455,0.35000000000002274,0,False,True,2
13,5dde8fba82f458000c8c7c75,129.13,129.65,a lot better.,-0.2300000000000182,0.5200000000000102,0,False,True,3
14,5c9527e29e4f7400011e1571,129.36,130.14,it on my end.,-0.28999999999999204,0.7799999999999727,0,False,True,4
15,5dde8fba82f458000c8c7c75,130.54,130.85,"Okay,",0.4000000000000057,0.3100000000000023,0,False,False,1
16,5c9527e29e4f7400011e1571,130.84,131.71,Okay.,-0.009999999999990905,0.8700000000000045,0,False,True,1
17,5dde8fba82f458000c8c7c75,130.85,131.05,good.,-0.8600000000000136,0.20000000000001705,0,False,True,1
18,5c9527e29e4f7400011e1571,131.72,133.03,Hello?,0.6699999999999875,1.3100000000000023,1,True,False,1
19,5dde8fba82f458000c8c7c75,132.24,132.96,Hello?,-0.789999999999992,0.7199999999999989,1,True,True,1
20,5c9527e29e4f7400011e1571,133.04,134.17,Hello?,0.07999999999998408,1.1299999999999955,1,True,False,1
21,5dde8fba82f458000c8c7c75,134.04,134.24,"Yeah,",-0.12999999999999545,0.20000000000001705,0,False,True,1
22,5c9527e29e4f7400011e1571,134.18,134.95,How are you?,-0.060000000000002274,0.7699999999999818,1,True,True,3
23,5dde8fba82f458000c8c7c75,135.64,136.14,"yeah,",0.6899999999999977,0.5,0,False,False,1
24,5c9527e29e4f7400011e1571,135.84,137.1,"Okay,",-0.29999999999998295,1.259999999999991,0,False,True,1
25,5dde8fba82f458000c8c7c75,136.74,138.96,"2020 you know,",-0.3599999999999852,2.219999999999999,0,False,True,3
26,5c9527e29e4f7400011e1571,137.74,140.14,got,-1.2199999999999989,2.3999999999999773,0,False,True,1
27,5dde8fba82f458000c8c7c75,139.94,140.32,hanging,-0.19999999999998863,0.37999999999999545,0,False,True,1
28,5c9527e29e4f7400011e1571,140.14,140.34,it.,-0.18000000000000682,0.20000000000001705,0,False,True,1
29,5dde8fba82f458000c8c7c75,140.32,140.44,in,-0.020000000000010232,0.12000000000000455,0,False,True,1
