turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5ef0b9fefb4e033ed8364c10,18.64,336.48,but Mhm. Mhm. Yeah. Yeah. Yeah. Uh huh. Uh huh. Yeah. Okay. Mhm. No. Mhm. Right. Mhm. Yeah. Yeah. Okay. Okay wishes mhm. Thanks please. Thanks. Yeah. Yeah. Mhm. But santa which is the best? Yeah. Okay. Yeah. Yeah. Yeah. Yes. Okay. I appreciate Oh. Mhm. Yeah. Mhm. Okay. Yeah. Yeah. Mhm. Mhm. Thank you. Mhm. Mhm. Okay. But Mhm. Yeah. Yeah and then. Uh huh. Okay. Mhm. Yeah. Yeah.,,317.84000000000003,1,False,False,70
1,5d3213238088eb0018fee4c9,341.74,342.16,Hello?,5.259999999999991,0.4200000000000159,1,True,False,1
2,5ef0b9fefb4e033ed8364c10,343.84,345.35,Yeah. Hello?,1.67999999999995,1.5100000000000477,1,True,False,2
3,5d3213238088eb0018fee4c9,345.64,347.95,"All right, Can you hear me okay?",0.2899999999999636,2.3100000000000023,1,True,False,7
4,5ef0b9fefb4e033ed8364c10,347.44,349.15,Yes I can. Can you hear me,-0.5099999999999909,1.7099999999999795,0,False,True,7
5,5d3213238088eb0018fee4c9,349.34,350.4,"Yeah, well,",0.18999999999999773,1.0600000000000023,0,False,False,2
6,5ef0b9fefb4e033ed8364c10,350.34,350.85,awesome,-0.060000000000002274,0.5100000000000477,0,False,True,1
7,5d3213238088eb0018fee4c9,350.4,350.75,hot.,-0.4500000000000455,0.35000000000002274,0,False,True,1
8,5ef0b9fefb4e033ed8364c10,350.86,352.86,high?,0.11000000000001364,2.0,1,True,False,1
9,5d3213238088eb0018fee4c9,351.14,353.46,Uh MEREDITH.,-1.7200000000000273,2.319999999999993,0,False,True,2
10,5ef0b9fefb4e033ed8364c10,353.54,354.35,I'm cute,0.08000000000004093,0.8100000000000023,0,False,False,3
11,5d3213238088eb0018fee4c9,354.84,356.85,"I'm nice to meet you, kim.",0.48999999999995225,2.0100000000000477,0,False,False,7
12,5ef0b9fefb4e033ed8364c10,356.44,358.15,and I see if you too.,-0.410000000000025,1.7099999999999795,0,False,True,6
13,5d3213238088eb0018fee4c9,357.84,361.86,"Alright, I get through. It is supposed to have a conversation for 25 minutes.",-0.3100000000000023,4.020000000000039,0,False,True,14
14,5ef0b9fefb4e033ed8364c10,361.74,362.85,I guess so,-0.12000000000000455,1.1100000000000136,0,False,True,3
15,5d3213238088eb0018fee4c9,362.94,364.65,Uh,0.08999999999997499,1.7099999999999795,0,False,False,1
16,5ef0b9fefb4e033ed8364c10,363.24,363.44,yeah,-1.4099999999999682,0.19999999999998863,0,False,True,1
17,5d3213238088eb0018fee4c9,365.34,369.46,So I guess what's your favorite color and why?,1.8999999999999773,4.1200000000000045,1,True,False,10
18,5ef0b9fefb4e033ed8364c10,370.24,376.26,"my favorite color screen, it's actually one of the colours of my sorority, kappa delta.",0.7800000000000296,6.019999999999982,0,False,False,16
19,5d3213238088eb0018fee4c9,376.74,377.46,"Okay,",0.4800000000000182,0.7199999999999704,0,False,False,1
20,5ef0b9fefb4e033ed8364c10,377.14,379.26,What's your favorite color and why?,-0.3199999999999932,2.1200000000000045,1,True,True,7
21,5d3213238088eb0018fee4c9,379.64,380.52,so my favorite,0.37999999999999545,0.8799999999999955,0,False,False,3
22,5ef0b9fefb4e033ed8364c10,380.44,380.64,Yeah.,-0.07999999999998408,0.19999999999998863,0,False,True,1
23,5d3213238088eb0018fee4c9,380.52,388.26,"color is hot pink, even though I don't really wear it, I just like it to accessorize because I think it's just bright and fun. So",-0.12000000000000455,7.740000000000009,0,False,True,28
24,5ef0b9fefb4e033ed8364c10,388.04,389.15,Cool.,-0.21999999999997044,1.1099999999999568,0,False,True,1
25,5d3213238088eb0018fee4c9,388.64,392.06,yeah. Um Are you a student then?,-0.5099999999999909,3.420000000000016,1,True,True,7
26,5ef0b9fefb4e033ed8364c10,392.44,394.15,"Yes I am a student, I'm a",0.37999999999999545,1.7099999999999795,0,False,False,8
27,5d3213238088eb0018fee4c9,393.94,394.15,"Well,",-0.20999999999997954,0.20999999999997954,0,False,True,1
28,5ef0b9fefb4e033ed8364c10,394.16,396.36,grad student actually um,0.010000000000047748,2.1999999999999886,0,False,False,4
29,5d3213238088eb0018fee4c9,395.64,396.36,"all right,",-0.7200000000000273,0.7200000000000273,0,False,True,2
30,5ef0b9fefb4e033ed8364c10,396.84,398.1,yep. For,0.47999999999996135,1.2600000000000477,0,False,False,2
31,5d3213238088eb0018fee4c9,397.94,398.41,I wasn't.,-0.160000000000025,0.4700000000000273,0,False,True,3
32,5ef0b9fefb4e033ed8364c10,398.1,399.36,a counseling program,-0.3100000000000023,1.259999999999991,0,False,True,3
33,5d3213238088eb0018fee4c9,399.54,401.03,"Oh, nice, nice. Um",0.18000000000000682,1.4899999999999523,0,False,False,4
