turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words
0,5e454881703c9401c7c3fe4f,5.14,5.34,Yeah.,,0.20000000000000018,0,False,False,1
1,5f1f2cf5a441a30fa1b79b2d,6.24,6.75,mhm,0.9000000000000004,0.5099999999999998,0,False,False,1
2,5e454881703c9401c7c3fe4f,6.34,7.45,Yeah. Yes.,-0.41000000000000014,1.1100000000000003,0,False,True,2
3,5f1f2cf5a441a30fa1b79b2d,10.84,11.29,Yeah.,3.3899999999999997,0.4499999999999993,0,False,False,1
4,5e454881703c9401c7c3fe4f,12.14,16.16,Oh,0.8500000000000014,4.02,0,False,False,1
5,5f1f2cf5a441a30fa1b79b2d,13.34,16.76,Yeah. How young,-2.8200000000000003,3.4200000000000017,0,False,True,3
6,5e454881703c9401c7c3fe4f,16.84,17.95,I'm good.,0.0799999999999983,1.1099999999999994,0,False,False,3
7,5f1f2cf5a441a30fa1b79b2d,18.74,19.36,they are.,0.7899999999999991,0.620000000000001,0,False,False,2
8,5e454881703c9401c7c3fe4f,20.14,20.34,Yeah.,0.7800000000000011,0.1999999999999993,0,False,False,1
9,5f1f2cf5a441a30fa1b79b2d,21.44,23.66,We're back in the States. I,1.1000000000000014,2.219999999999999,0,False,False,7
10,5e454881703c9401c7c3fe4f,26.34,31.76,Yeah. Mhm. Forget it. Mhm. Mhm.,2.6799999999999997,5.420000000000002,0,False,False,6
11,5f1f2cf5a441a30fa1b79b2d,34.64,50.45,it's kind of frozen. Is it frozen for you as well? Yeah. What's up? Mhm.,2.879999999999999,15.810000000000002,2,False,False,17
12,5e454881703c9401c7c3fe4f,51.84,55.46,So,1.3900000000000006,3.6199999999999974,0,False,False,1
13,5f1f2cf5a441a30fa1b79b2d,53.34,54.64,Yeah. Yeah.,-2.1199999999999974,1.2999999999999972,0,False,True,2
14,5e454881703c9401c7c3fe4f,55.47,60.3,I,0.8299999999999983,4.829999999999998,0,False,False,1
15,5f1f2cf5a441a30fa1b79b2d,55.94,59.66,"Oh, I can tell you know?",-4.359999999999999,3.719999999999999,1,True,True,6
16,5e454881703c9401c7c3fe4f,60.31,63.06,can't see you know? But okay.,0.6500000000000057,2.75,1,False,False,7
17,5f1f2cf5a441a30fa1b79b2d,63.71,65.14,Yeah.,0.6499999999999986,1.4299999999999997,0,False,False,1
18,5e454881703c9401c7c3fe4f,64.34,64.96,No.,-0.7999999999999972,0.6199999999999903,0,False,True,1
19,5f1f2cf5a441a30fa1b79b2d,65.54,67.48,Yeah. It's got like this little,0.5800000000000125,1.9399999999999977,0,False,False,7
20,5e454881703c9401c7c3fe4f,67.24,67.66,Mhm,-0.2400000000000091,0.4200000000000017,0,False,True,1
21,5f1f2cf5a441a30fa1b79b2d,67.49,68.66,person icon.,-0.1700000000000017,1.1700000000000017,0,False,True,2
22,5e454881703c9401c7c3fe4f,69.54,70.86,Shane.,0.8800000000000097,1.3199999999999932,0,False,False,1
23,5f1f2cf5a441a30fa1b79b2d,70.94,72.47,How weird. But the audios.,0.0799999999999983,1.5300000000000011,0,False,False,5
24,5e454881703c9401c7c3fe4f,74.04,77.46,Maybe it's like you know because of the internet or something.,1.5700000000000074,3.4199999999999875,0,False,False,12
25,5f1f2cf5a441a30fa1b79b2d,77.74,79.91,Yeah. Well,0.28000000000000114,2.1700000000000017,0,False,False,2
