,speaker,elapsed_time,content,video-timestamp-frame number,video-timestamp-elapsed time,video-timestamp-local_time,question
0,parent,0 days 00:00:00.000000000,"Talk longer, I can't be in that. No no no, don't press the buttons. Look at me. Can you see me? Look at me. Hi! Am I smiling?",0,0.0,2019-03-08 11:56:50, Can you see me::: Hi! Am I smiling
1,Speaker 2,0 days 00:00:26.000000000,"It's all set! Now, can you read these to me? I can show you a very cool app. You see",774,25.8,2019-03-08 11:57:16,"It's all set! Now, can you read these to me"
2,parent,0 days 00:00:36.000000000,"Here, sit with me. Let's see which one it is.",1080,36.0,2019-03-08 11:57:26,
3,Speaker 2,0 days 00:00:37.000000000,"Oh, it's this one. We'll have different types of stories that you will like. We have short stories and long stories. For short stories they are often less than five minutes or ten minutes each, and for long stories they are about.",1110,37.0,2019-03-08 11:57:27,
4,parent,0 days 00:00:51.000000000,"We'll put it on right at the time we start the story, okay?",1530,51.0,2019-03-08 11:57:41,"We'll put it on right at the time we start the story, okay"
5,Speaker 2,0 days 00:00:54.000000000,"They are about more than five minutes, from five to ten minutes each. You wanna choose a long story or short story? And then we'll read the story for about twenty minutes.",1581,52.7,2019-03-08 11:57:43, You wanna choose a long story or short story
6,parent,0 days 00:01:04.000000000,I'm gonna read to you. Do you want a long one or a short one? A short one?,1920,64.0,2019-03-08 11:57:54, Do you want a long one or a short one::: A short one
7,Speaker 2,0 days 00:01:10.000000000,And also you can choose what stories you like-,2100,70.0,2019-03-08 11:58:00,
8,parent,0 days 00:01:13.000000000,"Ooh, let's see what they have!",2190,73.0,2019-03-08 11:58:03,
9,Speaker 2,0 days 00:01:16.000000000,"You see you can scroll, and if you choose to scroll you wanna go to next page, just press here. If you wanna go to previous page just press here.",2280,76.0,2019-03-08 11:58:06,
10,parent,0 days 00:01:22.000000000,"Which one do you wanna read, William? [crosstalk 00:01:25] Put this back on, and then I'll read to you. These are all Dr. Seuss ones. We like those. Alright, you ready? Okay, here, let me see. Ready?",2460,82.0,2019-03-08 11:58:12,"Which one do you wanna read, William::: Alright, you ready::: Ready"
11,parent,0 days 00:01:41.000000000,Are you my mother?,3030,101.0,2019-03-08 11:58:31,Are you my mother
12,Speaker 2,0 days 00:01:49.000000000,"Oh, I can show you-",3270,109.0,2019-03-08 11:58:39,
13,parent,0 days 00:01:49.000000000,Does it go a little faster?,3270,109.0,2019-03-08 11:58:39,Does it go a little faster
14,Speaker 2,0 days 00:01:52.000000000,If you click here-,3363,112.1,2019-03-08 11:58:42,
15,parent,0 days 00:01:53.000000000,"Oh, then it [inaudible 00:01:54].",3390,113.0,2019-03-08 11:58:43,
16,Speaker 2,0 days 00:01:56.000000000,Go back to first page. Go back to bookshelf.,3480,116.0,2019-03-08 11:58:46,
17,parent,0 days 00:01:58.000000000,"Okay, put your hat on. You have to have it on while we read this, okay? It's a special hat.",3540,118.0,2019-03-08 11:58:48," You have to have it on while we read this, okay"
18,Speaker 2,0 days 00:02:04.000000000,It's a special hat.,3720,124.0,2019-03-08 11:58:54,
19,parent,0 days 00:02:05.000000000,"It won't work for Mommy, though, then I won't be in the movie. Look at this.",3747,124.9,2019-03-08 11:58:55,
