timedelta,user_id,f0,intensity,jitter,log_energy,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,onset_strength,poly_features_0,poly_features_1,shimmer,spectral_bandwidth,spectral_centroid,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_flatness,spectral_rolloff,zero_crossing_rate,gaze_on,nod_no,nod_yes,prob_face_anger,prob_face_contempt,prob_face_disgust,prob_face_fear,prob_face_happiness,prob_face_neutral,prob_face_sadness,prob_face_surprise,smile,is_speaking
00:00:00,5ea9c07d1e683e1118000f78,,0.0,,-112.93488138978847,-511.04992999999996,,,,,,,,,,,,,,,,,,,,,,,,,,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,1.0000007,,,,,,,,,,,,,,,False
00:00:00,5f978c9948915015fb3bd00a,,0.0,,-103.99043062920587,-498.00424000000004,,,,,,,,,,,,,,,,,,,,,,,,,,6.688139795322697,6.688139795322697,6.688139795322697,6.688139795322697,6.688139795322697,6.688139795322697,6.688139795322697,1.0000007,,,,,,,,,,,,,,,False
00:00:01,5ea9c07d1e683e1118000f78,,0.0,,-112.93488138978847,-511.04992999999996,,,,,,,,,,,,,,,,,,,,,,,,,,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,1.0000007,,,,,,,,,,,,,,,False
00:00:01,5f978c9948915015fb3bd00a,,0.0,,-103.99043062920587,-498.00424000000004,,,,,,,,,,,,,,,,,,,,,,,,,,6.688139795322697,6.688139795322697,6.688139795322697,6.688139795322697,6.688139795322697,6.688139795322697,6.688139795322697,1.0000007,,,,,,,,,,,,,,,False
00:00:02,5ea9c07d1e683e1118000f78,,0.0,,-112.93488138978847,-511.04992999999996,,,,,,,,,,,,,,,,,,,,,,,,,,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,1.0000007,,,,,,,,,,,,,,,False
00:00:02,5f978c9948915015fb3bd00a,,0.5002221984662695,,-83.89802067852803,-497.67987,0.94671905,0.21317965,0.09324547,-0.02560532,-0.1409098,-0.25034094,-0.35176244,-0.44327796,-0.52327216,-0.59044456,-0.64383316,0.9199586,0.8760392,0.81596535,0.74110377,0.6531518,0.5540892,0.44612905,0.33165818,0.022537049,-6.908618022082161e-08,0.0012719617765829163,,6343.078715884222,4628.057606299848,17.451177725773178,10.519673793122038,9.9708594154398,11.834337870310804,13.21531241337044,12.86352157273908,14.190176130863163,0.117793195,12009.895833333336,0.014527738764044944,,,,,,,,,,,,,False
00:00:03,5ea9c07d1e683e1118000f78,,0.0,,-112.93488138978847,-511.04992999999996,,,,,,,,,,,,,,,,,,,,,,,,,,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,1.0000007,,,,,,,,,,,,,,,False
00:00:03,5f978c9948915015fb3bd00a,,0.8699176931278592,,-80.75625559493761,-497.61917,0.7320772,-0.19089876,-0.29468906,-0.38108945,-0.44719958,-0.49121666,-0.5124876,-0.5114956,-0.48978317,-0.44982845,-0.39486408,0.69096285,0.62458557,0.5360431,0.42943883,0.30966124,0.18212791,0.05250083,-0.07360327,0.02115983,-7.307737636432966e-08,0.0013665281812436033,,6505.572855766205,4811.418755260899,18.667150397270238,9.699774296237797,12.350515625419266,12.481704172475453,13.730608421546169,13.562751634799405,16.279675820020987,0.0071549495,12596.71875,0.0252880859375,,,,,,,,,,,,,False
00:00:04,5ea9c07d1e683e1118000f78,,0.0,,-112.93488138978847,-511.04992999999996,,,,,,,,,,,,,,,,,,,,,,,,,,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,1.0000007,,,,,,,,,,,,,,,False
00:00:04,5f978c9948915015fb3bd00a,,0.9905065065779848,,-75.7808832391407,-496.2967,2.381179,-0.65813667,-1.0110964,-1.3756036,-1.7162865000000003,-1.9865905,-2.1427907999999998,-2.1576867,-2.0292118,-1.7811133000000001,-1.4556042,2.147573,1.8040453,1.4044045,0.9995187,0.62341547,0.28618166,-0.024120407000000003,-0.33153334,0.05133343,-1.2645939920104568e-07,0.0022508598519268464,,6110.481023300527,3815.381702214226,15.756211856692458,10.796213523674266,12.625601548276082,15.921671767468764,15.50621781526638,15.072313397670374,14.302979016663294,0.0033094643,10382.34375,0.0161962890625,,,,,,,,,,,,,False
00:00:05,5ea9c07d1e683e1118000f78,,0.0,,-112.93488138978847,-511.04992999999996,,,,,,,,,,,,,,,,,,,,,,,,,,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,1.0000007,,,,,,,,,,,,,,,False
00:00:05,5f978c9948915015fb3bd00a,241.19459628541375,0.649568896845136,3.2475685167491264,-49.710521582249896,-355.85168,92.00841,-6.155853700000001,-3.7810639999999998,-13.418410999999999,-3.4784059999999997,-10.508442,-8.693963,-5.1766567000000006,-12.544837,-3.7658947,-3.9669225,-47.566784000000006,21.615194,-0.6965624,-8.91991,-0.70397514,-18.10944,-6.865342999999999,-12.829833,1.7416436999999998,-3.533724916682594e-05,0.604454479310657,16.134966545258248,3916.773873303346,3813.025367367397,13.91710332394132,10.461189644960582,12.816374007561837,12.237204233254024,14.694832869356167,14.619077097129779,32.08386654449467,0.009651868000000001,8403.046875,0.06453125,,,,,,,,,,,,,True
00:00:06,5ea9c07d1e683e1118000f78,,0.0,,-112.93488138978847,-511.04992999999996,,,,,,,,,,,,,,,,,,,,,,,,,,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,8.447523087936135,1.0000007,,,,,,,,,,,,,,,False
00:00:06,5f978c9948915015fb3bd00a,185.0412433653424,0.5707984897064119,0.416488907867414,-41.33135283114356,-324.295,65.71892,-6.3574,3.9875277999999996,-5.220493299999999,-3.5167067000000003,-5.250947,-9.646989999999999,-5.264718,-9.012229,-4.951792,-0.3743396,-62.971348,12.28984,-12.309303,-23.394148,2.4316456000000004,-13.509967999999999,-3.3293352,-4.455541,1.5059917999999999,-2.1691028511576996e-05,0.3898965331858283,4.6933504714363234,2504.709213491217,3934.8968298030104,16.06487250388036,8.902937388477575,11.545122313039515,13.488887506666956,15.81734470978516,14.917430936243946,41.35334596203322,0.00040923845,6771.328125,0.151435546875,,,,,,,,,,,,,True
